
Call:
msPGOcc(occ.formula = bbs_occobject_fulllandveg.occ.formula, det.formula = bbs_occobject.det.best.formula, 
    data = bbs_occobject, inits = ms.inits, priors = ms.priors, n.samples = 30000, n.omp.threads = 1, verbose = TRUE, 
    n.report = 6000, n.burn = 10000, n.thin = 50, n.chains = 3)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 58.0988

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                                Mean     SD      5%     50%     95%   Rhat  ESS
(Intercept)-sp63              2.7059 0.4251  2.0924  2.6799  3.4311 1.0355 1200
(Intercept)-sp64              0.4583 0.7747 -0.5235  0.3315  1.8243 1.0015  727
(Intercept)-sp65             -4.5172 1.2770 -6.5320 -4.5470 -2.3118 1.0064  703
(Intercept)-sp66             -2.2786 0.6778 -3.2989 -2.3176 -1.1240 1.0055 1082
(Intercept)-sp67             -2.5270 0.5367 -3.3849 -2.5348 -1.6391 1.0148 1200
(Intercept)-sp68             -3.2920 0.4723 -4.1309 -3.2651 -2.5577 1.0047 1019
(Intercept)-sp69              1.0217 1.0262 -0.1921  0.7974  3.0108 1.0273  552
(Intercept)-sp70             -4.6774 1.3452 -6.8338 -4.7312 -2.5551 1.0187  416
(Intercept)-sp71             -5.9700 1.5584 -8.6466 -5.8668 -3.6131 1.0148  704
(Intercept)-sp72             -0.2520 0.5313 -0.9711 -0.3235  0.6853 1.0024 1248
(Intercept)-sp73             -2.9602 0.5130 -3.8177 -2.9546 -2.1394 1.0006 1200
(Intercept)-sp74             -4.5402 1.2899 -6.6667 -4.5031 -2.4482 1.0149  770
(Intercept)-sp75              3.3068 0.7370  2.2933  3.1937  4.6920 1.0092 1044
(Intercept)-sp76              2.9480 0.4269  2.3029  2.9201  3.7037 1.0033 1091
(Intercept)-sp77             -2.6928 0.9329 -4.0266 -2.8116 -0.9320 1.0147  659
(Intercept)-sp78             -3.6503 1.2217 -5.5095 -3.7579 -1.5443 1.0074  501
(Intercept)-sp79             -0.0175 1.4139 -1.8598 -0.2383  2.5896 1.0141  386
(Intercept)-sp80             -1.0947 1.1175 -2.4014 -1.2879  0.9685 1.1004  325
(Intercept)-sp81              2.1017 1.5139  0.1697  1.8216  5.0406 1.0056  468
(Intercept)-sp82             -0.9339 0.2161 -1.3070 -0.9229 -0.5994 1.0015 1249
(Intercept)-sp83             -5.0920 1.0146 -6.8631 -5.0196 -3.5963 1.0089  985
(Intercept)-sp84              0.8144 0.3607  0.2592  0.7940  1.4121 0.9994 1417
(Intercept)-sp85              0.3049 0.1944  0.0010  0.3026  0.6320 1.0077 1200
(Intercept)-sp86             -3.6374 0.4912 -4.4666 -3.6159 -2.8687 0.9999 1051
(Intercept)-sp87             -3.0989 0.5713 -4.0310 -3.1008 -2.2268 1.0074 1196
(Intercept)-sp88              3.3857 0.6673  2.4707  3.3039  4.6245 1.0040 1177
(Intercept)-sp89             -1.0222 1.0744 -2.5968 -1.0725  0.8810 1.0044  611
(Intercept)-sp90             -2.2408 0.5544 -3.0859 -2.2728 -1.3780 1.0110 1200
(Intercept)-sp91             -5.8825 1.5945 -8.6880 -5.7558 -3.5628 1.0240  694
(Intercept)-sp92             -2.0728 0.3351 -2.6375 -2.0656 -1.5272 1.0017 1138
(Intercept)-sp93              3.0148 0.8156  1.9707  2.8697  4.4985 0.9999  964
(Intercept)-sp94             -5.2691 0.9236 -6.9008 -5.2113 -3.8828 1.0048 1069
(Intercept)-sp95             -3.4987 0.5266 -4.4124 -3.4671 -2.6505 0.9989 1144
(Intercept)-sp96             -1.7523 1.5493 -3.6378 -2.1136  1.3565 1.0240  201
(Intercept)-sp97             -4.3198 0.9520 -5.8885 -4.3039 -2.7741 1.0067  926
(Intercept)-sp98             -3.8041 1.1623 -5.5289 -3.8889 -1.7607 1.0113  579
(Intercept)-sp99              0.8538 0.3225  0.3714  0.8244  1.4345 1.0029 1200
(Intercept)-sp100            -1.7910 1.2033 -3.4127 -1.9382  0.3947 1.0045  309
(Intercept)-sp101            -1.2857 0.2747 -1.7395 -1.2906 -0.8457 1.0022 1351
(Intercept)-sp102            -1.6814 0.7249 -2.6381 -1.7783 -0.4967 1.0735  506
(Intercept)-sp103            -3.0359 0.7513 -4.1480 -3.0813 -1.7394 1.0079  932
scale(tol_rel)-sp1           -0.9695 0.2481 -1.4005 -0.9638 -0.5879 1.0177 1200
scale(tol_rel)-sp2            0.6577 0.5153 -0.1615  0.6603  1.5103 1.0075 1390
scale(tol_rel)-sp3            0.2199 0.2640 -0.1930  0.2046  0.6834 0.9997 1200
scale(tol_rel)-sp4            0.1486 0.3808 -0.4349  0.1329  0.8245 1.0052 1161
scale(tol_rel)-sp5            0.1963 0.5340 -0.7264  0.1936  1.0538 0.9997 1338
scale(tol_rel)-sp6            0.3004 0.3702 -0.3100  0.3034  0.9178 1.0058 1200
scale(tol_rel)-sp7            0.2802 0.3378 -0.2367  0.2576  0.8635 1.0004 1318
scale(tol_rel)-sp8            0.2896 0.4623 -0.4829  0.3048  1.0304 1.0010 1397
scale(tol_rel)-sp9            0.8102 0.4623  0.0689  0.8062  1.5790 1.0081 1351
scale(tol_rel)-sp10           0.3522 0.4949 -0.4622  0.3562  1.2076 1.0049 1200
scale(tol_rel)-sp11           1.0094 0.4734  0.2510  1.0077  1.7611 0.9994 1200
scale(tol_rel)-sp12           0.7448 0.2554  0.3304  0.7346  1.1802 1.0183 1247
scale(tol_rel)-sp13           0.5956 0.3980 -0.0014  0.5853  1.2545 0.9992 1200
scale(tol_rel)-sp14           0.0252 0.4721 -0.6974  0.0074  0.8345 1.0053 1200
scale(tol_rel)-sp15           0.3344 0.4058 -0.2773  0.3100  1.0109 1.0099 1200
scale(tol_rel)-sp16          -0.3585 0.2545 -0.7860 -0.3605  0.0641 1.0156 1200
