"fid","plot_id","geom","ldi_250ft","ldi_500ft","ldi_1k","ldi_1k_2005","ldi_2k","ldi_3k"
1,"1002_1st",POINT (2181961.966582265 561937.2040621865),0.0,0.032050920094496706,0.4004031404023592,0.19219416638793715,0.8324491457799008,1.217612466056905
2,"1003_1st",POINT (2150603.164234109 613126.064323057),0.0,0.08706050912661042,0.0750729805347812,0.03469856223607514,0.6049081119813088,1.066578850931248
3,"1004_1st",POINT (2227459.3677537353 626208.1290629893),0.0,0.0,0.021370902323597084,0.009816588986154907,0.3412775429811909,0.4679069901250324
4,"1005_1st",POINT (2191854.262734906 580245.1985438305),0.0,0.0,0.0,0.0,0.7967676069740536,1.3446244563238392
5,"1006_1st",POINT (2116873.0660748766 635134.0578629784),0.0,0.0,0.011820339542260475,0.005423627674370132,0.10115978501025022,0.3723070008988428
6,"1008_1st",POINT (2190036.868129209 621532.8721944819),0.08264842633353046,0.298482695428149,0.6383467735472637,0.31508929461946883,0.8856341340984858,3.5988100256367304
7,"1009_1st",POINT (2186183.001461539 567396.754859939),0.220868553569641,0.1558622004770241,0.21514643973399333,0.10106590263412554,0.25739927637688237,0.7850551252154536
8,"1010_1st",POINT (2133646.5227815625 633287.311399208),0.0,0.0439606818355413,0.3000073664949298,0.14232703426892152,1.1721109579048288,1.2546281189333328
9,"1011_1st",POINT (2241516.6150900857 623285.3519849064),0.17813956583784457,0.4045299775959924,1.1902661729615742,0.6274578314448548,4.119413221847007,5.7124566150615745
10,"1012_1st",POINT (2263448.5015464947 693603.9259807129),0.20141945408973105,0.20160137991664834,0.19027109578841686,0.08912301544878173,0.2465384848024889,0.21790367896453494
11,"1013_1st",POINT (2190970.2079551797 596392.8369220573),0.2898126119683327,0.7846109730890731,0.7589742085316659,0.3800117396879385,1.022123634048426,1.3917869043993116
12,"1014_1st",POINT (2151590.812440321 612514.1766139114),0.42287748257621965,0.5348976508973295,0.5702872906360931,0.2792471855101171,1.1400355893608463,2.890467624562807
