
Call:
msPGOcc(occ.formula = occ_fullrda, det.formula = det_best, data = bbs_occobject, 
    inits = ms.inits, priors = ms.priors, n.samples = n.samples, 
    n.omp.threads = n.omp.threads, verbose = TRUE, n.report = n.report, 
    n.burn = n.burn, n.thin = n.thin, n.chains = n.chains)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 51.4768

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                         Mean     SD      5%     50%     95%   Rhat  ESS
(Intercept)-NOCA       4.2673 0.9453  3.0993  4.1044  5.9547 1.0177  967
(Intercept)-NOFL       1.5620 1.1004  0.3001  1.3119  3.6639 1.0051  369
(Intercept)-NOPA      -3.9024 1.5474 -6.1938 -4.0404 -1.1775 1.0251  382
(Intercept)-NRWS      -1.7927 0.6701 -2.8321 -1.8346 -0.6961 1.0097 1033
(Intercept)-OROR      -1.9114 0.4428 -2.6229 -1.9135 -1.1774 1.0009 1200
(Intercept)-OVEN      -2.5155 0.4526 -3.2750 -2.5122 -1.7634 1.0034 1015
(Intercept)-PIWO       1.6559 0.9057  0.5066  1.4806  3.4025 1.0586  757
(Intercept)-PUFI      -4.0492 1.2670 -6.0499 -4.0821 -1.8687 1.0177  662
(Intercept)-PUMA      -4.7319 1.1573 -6.7300 -4.6763 -2.9680 1.0058  682
(Intercept)-RBGR      -0.0625 0.3492 -0.5836 -0.0910  0.5523 1.0225  916
(Intercept)-RBGU      -1.9284 0.4984 -2.7068 -1.9336 -1.1088 1.0279 1200
(Intercept)-RBNU      -4.0875 1.4923 -6.1973 -4.2340 -1.4027 1.0407  388
(Intercept)-RBWO       3.5181 0.7182  2.5690  3.4175  4.7829 1.0006 1229
(Intercept)-REVI       3.6705 0.5496  2.8332  3.6327  4.6051 1.0061 1200
(Intercept)-RHWO      -2.6476 0.8703 -3.8699 -2.7684 -1.0054 1.0044  771
(Intercept)-ROPI      -3.3754 1.5337 -5.5215 -3.5592 -0.6962 1.0166  351
(Intercept)-RSHA       0.2002 1.2259 -1.2738 -0.0308  2.4966 1.0236  330
(Intercept)-RTHA       0.0754 1.5596 -1.6353 -0.3114  3.3499 1.0302  233
(Intercept)-RTHU       1.8939 1.3853  0.1751  1.5863  4.7505 1.0706  457
(Intercept)-RWBL      -0.4611 0.2008 -0.7958 -0.4571 -0.1341 0.9995 1200
(Intercept)-SAVS      -5.4417 0.9224 -7.2050 -5.3301 -4.0903 1.0051 1200
(Intercept)-SCTA       1.0175 0.3181  0.5364  0.9969  1.5776 1.0082 1234
(Intercept)-SOSP       0.7366 0.2226  0.3887  0.7351  1.1030 1.0245 1200
(Intercept)-SWSP      -3.6598 0.4793 -4.5286 -3.6154 -2.9500 1.0260 1200
(Intercept)-TRES      -2.5705 0.4608 -3.3081 -2.5665 -1.8115 1.0008 1351
(Intercept)-TUTI       4.2978 0.7705  3.2807  4.1745  5.7069 0.9991 1090
(Intercept)-TUVU       0.0481 1.2681 -1.6026 -0.1516  2.3366 1.0023  415
(Intercept)-VEER      -1.4122 0.4855 -2.1424 -1.4638 -0.5167 1.0169 1200
(Intercept)-VIRA      -4.0461 1.7691 -6.4346 -4.2534 -1.0882 1.0294  188
(Intercept)-WAVI      -1.9643 0.2924 -2.4446 -1.9640 -1.4854 1.0051 1200
(Intercept)-WBNU       2.8686 0.4887  2.1538  2.8188  3.7009 1.0024  943
(Intercept)-WEVI      -5.2468 0.9500 -6.8535 -5.1730 -3.8506 1.0070 1200
(Intercept)-WIFL      -2.7386 0.4061 -3.3939 -2.7278 -2.0977 1.0044 1200
(Intercept)-WITU       1.0731 1.7951 -1.5203  0.9473  4.1758 1.0026  272
(Intercept)-WIWR      -3.1537 1.1151 -4.7175 -3.2605 -1.1920 1.0785  375
(Intercept)-WODU      -3.4921 1.4750 -5.4624 -3.6959 -0.6526 1.0109  283
(Intercept)-WOTH       1.3730 0.3150  0.8853  1.3565  1.9245 1.0066 1200
