Process,Species,Covariate,Mean,SD,2.5CI,50CI,97.5CI,Rhat,ESS,5.0CI,95.0CI,Migratory,Sig
Occupancy,EuropeanStarling,Intercept,-2.0715,0.3652,-2.7766,-2.0797,-1.3748,1.0139,1403,-2.6555,-1.4657,R,YES
Occupancy,FieldSparrow,Intercept,-3.2115,0.4084,-4.0221,-3.2029,-2.4672,1.0153,1200,-3.8895,-2.5739,M,YES
Occupancy,GreatBlueHeron,Intercept,-1.9644,0.9871,-3.4305,-2.0844,0.5928,1.0164,466,-3.2598,-0.1648,M,NO
Occupancy,GreatCrestedFlycatcher,Intercept,2.1668,1.1977,0.716,1.8397,5.3658,1.0393,446,0.8515,4.6424,NE,YES
Occupancy,GreatHornedOwl,Intercept,-4.232,1.4847,-6.9028,-4.3288,-0.8751,1.0422,375,-6.4214,-1.7492,R,YES
Occupancy,GrayCatbird,Intercept,0.094,0.2271,-0.3244,0.0865,0.583,1.0058,1200,-0.2695,0.4733,M,NO
Occupancy,GreenHeron,Intercept,-4.3484,1.3112,-6.8034,-4.4094,-1.4477,1.0012,655,-6.4703,-2.1233,M,YES
Occupancy,HairyWoodpecker,Intercept,1.0511,0.9566,-0.1954,0.8555,3.464,1.0286,516,-0.088,2.936,R,NO
Occupancy,HerringGull,Intercept,-5.0533,1.0386,-7.2435,-5.0236,-3.2127,1.014,1069,-6.8029,-3.461,R,YES
Occupancy,HermitThrush,Intercept,-4.7893,0.742,-6.4398,-4.7193,-3.4954,1.0011,1084,-6.1808,-3.727,NE,YES
Occupancy,HouseFinch,Intercept,-0.4395,0.8902,-1.6495,-0.6052,1.8106,1.0204,628,-1.5024,1.1533,R,NO
Occupancy,HouseSparrow,Intercept,-1.7705,0.3165,-2.3783,-1.7736,-1.1674,1.0046,1311,-2.2942,-1.2666,R,YES
Occupancy,HoodedWarbler,Intercept,-0.8936,0.2216,-1.3101,-0.8984,-0.4576,1.0076,1200,-1.2469,-0.5273,NE,YES
Occupancy,HouseWren,Intercept,-0.1521,0.1789,-0.493,-0.1495,0.1892,1.0116,1200,-0.4426,0.1477,M,NO
Occupancy,IndigoBunting,Intercept,-0.1185,0.2077,-0.5105,-0.1196,0.323,1.0047,1318,-0.4458,0.2416,NE,NO
Occupancy,Killdeer,Intercept,-2.9777,0.607,-4.1287,-2.9659,-1.7107,1.0116,1200,-3.9554,-1.9875,M,YES
Occupancy,LouisianaWaterthrush,Intercept,-2.3514,0.5046,-3.2456,-2.3921,-1.2431,1.0108,1200,-3.1113,-1.4645,NE,YES
Occupancy,Mallard,Intercept,-2.2053,1.1945,-3.881,-2.4349,0.9046,1.0732,327,-3.668,0.1575,M,NO
Occupancy,MourningDove,Intercept,-1.1253,0.5098,-2.0139,-1.169,-0.0237,1.0128,1336,-1.8906,-0.2259,M,YES
Occupancy,NorthernCardinal,Intercept,2.6612,0.4154,1.9569,2.6112,3.5935,1.0042,1301,2.0644,3.4162,R,YES
Occupancy,NorthernFlicker,Intercept,1.1312,1.1987,-0.4418,0.8662,4.4485,1.0076,489,-0.3055,3.4692,M,NO
Occupancy,NorthernParula,Intercept,-4.398,1.1616,-6.6943,-4.415,-1.9764,1.0175,907,-6.2715,-2.3755,M,YES
Occupancy,NorthernRough-wingedSwallow,Intercept,-2.0908,0.7159,-3.3175,-2.1448,-0.4619,1.0146,1083,-3.1526,-0.7288,M,YES
Occupancy,OrchardOriole,Intercept,-2.5441,0.5165,-3.5647,-2.5497,-1.5591,1.0069,1200,-3.4127,-1.7076,NE,YES
Occupancy,Ovenbird,Intercept,-2.7411,0.3799,-3.495,-2.7534,-1.9963,1.0017,1064,-3.3822,-2.0969,NE,YES
Occupancy,PileatedWoodpecker,Intercept,1.3278,1.2478,-0.2932,1.014,4.5003,1.0028,486,-0.0992,3.8978,R,NO
Occupancy,PurpleFinch,Intercept,-4.6182,1.2931,-7.0651,-4.6342,-1.9387,1.0184,720,-6.7146,-2.5202,M,YES
Occupancy,PurpleMartin,Intercept,-5.7645,1.6389,-9.2771,-5.6859,-2.7333,1.0081,602,-8.6066,-3.3179,NE,YES
Occupancy,Rose-breastedGrosbeak,Intercept,-0.0306,0.64,-0.929,-0.1319,1.4403,1.0027,873,-0.8291,1.0408,NE,NO
Occupancy,Ring-billedGull,Intercept,-2.5974,0.6158,-3.5624,-2.6476,-1.3133,1.0347,455,-3.4718,-1.6445,R,YES
Occupancy,Red-breastedNuthatch,Intercept,-4.3215,1.3994,-6.8785,-4.3605,-1.1349,1.0129,532,-6.4637,-1.8609,M,YES
Occupancy,Red-belliedWoodpecker,Intercept,3.1006,0.6479,2.0785,3.0266,4.5694,1.0042,1200,2.2019,4.2586,R,YES
Occupancy,Red-eyedVireo,Intercept,2.8748,0.4073,2.1383,2.8528,3.7559,1.0032,1787,2.243,3.5901,NE,YES
Occupancy,Red-headedWoodpecker,Intercept,-2.6122,0.9408,-4.1141,-2.715,-0.5804,1.0135,471,-3.882,-0.8964,R,YES
Occupancy,RockPigeon,Intercept,-3.6747,1.0935,-5.7871,-3.7102,-1.4484,1.0108,660,-5.4487,-1.8426,R,YES
Occupancy,Red-shoulderedHawk,Intercept,0.03,1.3537,-2.1209,-0.1729,3.194,1.0002,345,-1.7924,2.3426,R,NO
Occupancy,Red-tailedHawk,Intercept,-0.6877,1.2705,-2.5205,-0.9232,2.6374,1.0338,302,-2.258,1.7696,R,NO
Occupancy,Ruby-throatedHummingbird,Intercept,2.0525,1.39,0.0207,1.8108,5.4609,1.024,537,0.2036,4.7782,NE,YES
Occupancy,Red-wingedBlackbird,Intercept,-0.9361,0.2133,-1.3488,-0.9352,-0.5358,1.0001,1200,-1.2832,-0.5863,M,YES
