Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,GreatBlueHeron,Intercept,-2.2261,0.7978,-3.3048,-2.3124,-0.8511,1.0001,819,M,YES
Occupancy,GreatCrestedFlycatcher,Intercept,1.7624,0.9045,0.7426,1.5521,3.4848,1.01,790,NE,YES
Occupancy,GreatHornedOwl,Intercept,-4.481,1.2496,-6.5008,-4.5187,-2.4063,1.02,828,R,YES
Occupancy,GrayCatbird,Intercept,0.0931,0.2363,-0.2757,0.0881,0.4806,1.0068,1200,M,NO
Occupancy,GreenHeron,Intercept,-4.5947,1.2474,-6.5375,-4.6445,-2.5151,1.0291,673,M,YES
Occupancy,HairyWoodpecker,Intercept,1.111,0.9399,-0.0794,0.937,2.8746,1.0276,587,R,NO
Occupancy,HerringGull,Intercept,-5.0876,0.9811,-6.7932,-5.0607,-3.5777,1.0055,991,R,YES
Occupancy,HermitThrush,Intercept,-4.8209,0.7826,-6.1581,-4.7551,-3.6401,1.009,1200,NE,YES
Occupancy,HouseFinch,Intercept,-0.7796,0.7186,-1.7929,-0.8584,0.3746,1.0121,821,R,NO
Occupancy,HouseSparrow,Intercept,-1.8836,0.3194,-2.4059,-1.8695,-1.3895,1.0004,1200,R,YES
Occupancy,HoodedWarbler,Intercept,-1.0448,0.2469,-1.4504,-1.0399,-0.6555,1.0029,1200,NE,YES
Occupancy,HouseWren,Intercept,-0.1458,0.1734,-0.4353,-0.1482,0.1303,1.0011,1200,M,NO
Occupancy,IndigoBunting,Intercept,-0.138,0.1976,-0.4484,-0.148,0.1981,1.0172,1200,NE,NO
Occupancy,Killdeer,Intercept,-2.9907,0.6548,-4.0025,-3.0229,-1.9149,1.0002,1200,M,YES
Occupancy,LouisianaWaterthrush,Intercept,-2.609,0.5221,-3.4279,-2.6183,-1.7576,0.9995,1200,NE,YES
Occupancy,Mallard,Intercept,-2.6481,0.9681,-3.9568,-2.752,-1.0334,1.009,460,M,YES
Occupancy,MourningDove,Intercept,-1.0717,0.5342,-1.8573,-1.1101,-0.1646,1.0051,1200,M,YES
Occupancy,NorthernCardinal,Intercept,2.7059,0.4251,2.0924,2.6799,3.4311,1.0355,1200,R,YES
Occupancy,NorthernFlicker,Intercept,0.4583,0.7747,-0.5235,0.3315,1.8243,1.0015,727,M,NO
Occupancy,NorthernParula,Intercept,-4.5172,1.277,-6.532,-4.547,-2.3118,1.0064,703,M,YES
Occupancy,NorthernRough-wingedSwallow,Intercept,-2.2786,0.6778,-3.2989,-2.3176,-1.124,1.0055,1082,M,YES
Occupancy,OrchardOriole,Intercept,-2.527,0.5367,-3.3849,-2.5348,-1.6391,1.0148,1200,NE,YES
Occupancy,Ovenbird,Intercept,-3.292,0.4723,-4.1309,-3.2651,-2.5577,1.0047,1019,NE,YES
Occupancy,PileatedWoodpecker,Intercept,1.0217,1.0262,-0.1921,0.7974,3.0108,1.0273,552,R,NO
Occupancy,PurpleFinch,Intercept,-4.6774,1.3452,-6.8338,-4.7312,-2.5551,1.0187,416,M,YES
Occupancy,PurpleMartin,Intercept,-5.97,1.5584,-8.6466,-5.8668,-3.6131,1.0148,704,NE,YES
