
Call:
msPGOcc(occ.formula = occ_landvegrda, det.formula = det_best, data = bbs_occobject_three, 
    inits = ms.inits, priors = ms.priors, n.samples = n.samples, n.omp.threads = n.omp.threads, 
    verbose = TRUE, n.report = n.report, n.burn = n.burn, n.thin = n.thin, 
    n.chains = n.chains)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 68.0492

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                           Mean     SD      5%     50%     95%   Rhat  ESS
(Intercept)-NOCA         2.9658 0.4931  2.2714  2.9089  3.8097 1.0015 1021
(Intercept)-NOFL         1.1549 1.2566 -0.2386  0.8172  3.4881 1.0008  375
(Intercept)-NOPA        -4.3280 1.4816 -6.5247 -4.4239 -1.9232 1.0302  428
(Intercept)-NRWS        -1.8810 0.9240 -3.0923 -2.0175 -0.2665 1.0335  531
(Intercept)-OROR        -2.6495 0.5551 -3.5978 -2.6333 -1.7625 1.0098 1200
(Intercept)-OVEN        -2.7661 0.5547 -3.6191 -2.7872 -1.8182 1.0026  913
(Intercept)-PIWO         2.2117 1.6139  0.2641  1.8667  5.3122 1.0121  327
(Intercept)-PUFI        -4.9930 1.4326 -7.3465 -5.0019 -2.4772 1.0070  513
(Intercept)-PUMA        -5.7715 1.7334 -8.7059 -5.7345 -2.9926 1.0090  490
(Intercept)-RBGR         0.0228 0.6125 -0.7935 -0.0643  1.1084 1.0014  842
(Intercept)-RBGU        -2.5388 0.6666 -3.5636 -2.5762 -1.3936 1.0011  970
(Intercept)-RBNU        -4.2828 1.5346 -6.6391 -4.4001 -1.7712 1.0401  218
(Intercept)-RBWO         3.5853 0.8717  2.5157  3.4255  5.1383 1.0084  909
(Intercept)-REVI         3.1141 0.4763  2.3991  3.0655  3.9703 1.0026 1200
(Intercept)-RHWO        -2.2779 1.3321 -3.8890 -2.5268  0.0552 1.2333  216
(Intercept)-ROPI        -3.6749 1.3026 -5.4884 -3.8270 -1.3091 1.0102  470
(Intercept)-RSHA         0.7784 1.5859 -1.3225  0.5744  3.7848 1.0038  307
(Intercept)-RTHA        -1.1284 0.9859 -2.4338 -1.2824  0.6793 1.0310  577
(Intercept)-RTHU         2.3929 1.5146  0.3226  2.1922  5.1884 1.0153  418
(Intercept)-RWBL        -0.9216 0.2220 -1.2885 -0.9234 -0.5676 1.0061 1200
(Intercept)-SAVS        -5.1501 1.1328 -7.1275 -5.0773 -3.4691 1.0398  765
(Intercept)-SCTA         1.0015 0.4234  0.3725  0.9574  1.7681 1.0010 1200
(Intercept)-SOSP         0.3591 0.2063  0.0350  0.3570  0.7160 1.0008 1200
(Intercept)-SWSP        -3.5426 0.5074 -4.4569 -3.5020 -2.7779 1.0169 1200
(Intercept)-TRES        -3.1376 0.6020 -4.1137 -3.1273 -2.1963 0.9989 1200
(Intercept)-TUTI         3.6483 0.7114  2.6791  3.5443  4.9202 1.0274  893
(Intercept)-TUVU        -0.8107 1.2982 -2.5374 -1.0136  1.5897 1.0330  365
(Intercept)-VEER        -1.4903 0.8994 -2.5829 -1.6310  0.0426 1.0490  462
(Intercept)-VIRA        -5.9935 1.7983 -9.2678 -5.8402 -3.3405 1.0385  329
(Intercept)-WAVI        -2.0694 0.3560 -2.6647 -2.0648 -1.5169 1.0047 1200
(Intercept)-WBNU         3.4907 1.0187  2.2795  3.2430  5.4820 1.0264  684
(Intercept)-WEVI        -5.3765 1.0355 -7.2391 -5.3343 -3.8499 1.0018 1019
(Intercept)-WIFL        -3.4399 0.5154 -4.3359 -3.4023 -2.6640 1.0023 1200
(Intercept)-WITU        -1.1821 1.7559 -3.3683 -1.5354  2.0830 1.0047  228
(Intercept)-WIWR        -4.0997 1.0198 -5.7313 -4.1393 -2.3181 1.0047  844
(Intercept)-WODU        -3.6457 1.3197 -5.6386 -3.7349 -1.4812 1.0267  545
(Intercept)-WOTH         1.3603 0.4687  0.7156  1.2944  2.2377 1.0161 1375
(Intercept)-YBCU        -1.7007 1.4223 -3.5518 -1.9134  1.0550 1.0002  265
(Intercept)-YEWA        -1.3365 0.2865 -1.8032 -1.3379 -0.8623 1.0161 1200
(Intercept)-YTVI        -0.7457 1.3629 -2.3536 -1.0267  1.8723 1.0738  311
(Intercept)-YTWA        -2.9715 0.8840 -4.2116 -3.0652 -1.3839 1.0107  739
scale(monocots)-ACFL     0.7527 0.2546  0.3329  0.7503  1.1929 1.0044 1200
