Process,Species,Covariate,Mean,SD,2.5CI,50CI,97.5CI,Rhat,ESS,5.0CI,95.0CI
Occupancy,Acadian Flycatcher,Intercept,0.2297,0.2143,-0.1832,0.2353,0.6416,1.0017,1281,-0.1303,0.5718
Occupancy,Alder Flycatcher,Intercept,-4.4816,1.295,-6.8583,-4.4924,-1.656,1.0002,713,-6.4581,-2.2765
Occupancy,American Crow,Intercept,-0.0645,0.3302,-0.6164,-0.0881,0.6609,1.005,1200,-0.5436,0.5147
Occupancy,American Goldfinch,Intercept,2.5165,0.7091,1.5753,2.3929,4.3574,1.0212,1200,1.6719,3.8335
Occupancy,American Kestrel,Intercept,-4.284,1.2914,-6.6265,-4.3283,-1.6509,1.0083,652,-6.3094,-2.1924
Occupancy,American Redstart,Intercept,-2.4472,0.5026,-3.4193,-2.4707,-1.4215,1.0102,1200,-3.2236,-1.5984
Occupancy,American Robin,Intercept,2.3778,0.3732,1.7549,2.3393,3.1894,1.0062,1200,1.8312,3.0218
Occupancy,American Woodcock,Intercept,-4.1359,0.8826,-5.9427,-4.13,-2.4795,1.0001,1200,-5.5822,-2.7501
Occupancy,Barred Owl,Intercept,-3.074,1.2414,-5.1637,-3.1816,-0.1707,1.0177,428,-4.8589,-0.8537
Occupancy,Bald Eagle,Intercept,-3.5306,1.1448,-5.4834,-3.5985,-1.1394,1.0148,595,-5.1777,-1.6299
Occupancy,Bank Swallow,Intercept,-4.1122,1.1491,-6.4061,-4.1142,-1.7295,1.024,897,-5.994,-2.1445
Occupancy,Baltimore Oriole,Intercept,-0.1751,0.3371,-0.7924,-0.1998,0.5884,1.0049,1200,-0.6884,0.4121
Occupancy,Barn Swallow,Intercept,-1.9122,0.6445,-3.0087,-1.9868,-0.4837,1.0015,968,-2.848,-0.7844
Occupancy,Black-capped Chickadee,Intercept,2.992,0.7631,1.9049,2.8535,4.9748,1.0042,999,2.0423,4.3866
Occupancy,Belted Kingfisher,Intercept,-0.8194,0.8081,-2.0547,-0.9259,1.2101,1.0063,602,-1.8918,0.6135
Occupancy,Blue-gray Gnatcatcher,Intercept,1.2538,0.4312,0.5629,1.189,2.2586,1.0009,1211,0.6683,2.0474
Occupancy,Brown-headed Cowbird,Intercept,1.9363,0.4211,1.2157,1.9007,2.8856,1.0066,1323,1.3066,2.6814
Occupancy,Blue-headed Vireo,Intercept,-4.1715,1.349,-6.6882,-4.273,-1.1372,1.0043,471,-6.32,-1.8231
Occupancy,Blue Jay,Intercept,2.1421,0.3752,1.5187,2.1063,2.9501,1.0044,1200,1.606,2.7921
Occupancy,Bobolink,Intercept,-5.7114,1.6105,-9.0754,-5.6465,-2.769,1.0037,638,-8.533,-3.2523
Occupancy,Brown Creeper,Intercept,-2.1501,0.4706,-3.0129,-2.1864,-1.1536,1.0007,1200,-2.8772,-1.3129
Occupancy,Brown Thrasher,Intercept,-3.3353,0.9617,-5.2753,-3.3475,-1.4023,1.0014,1002,-4.9301,-1.733
Occupancy,Black-throated Green Warbler,Intercept,-5.5574,1.4512,-8.6871,-5.4344,-2.8951,1.0191,728,-8.0476,-3.3471
Occupancy,Broad-winged Hawk,Intercept,-3.577,1.1345,-5.5178,-3.659,-1.0743,1.0142,491,-5.2349,-1.5991
Occupancy,Blue-winged Warbler,Intercept,-2.9626,0.7084,-4.2226,-2.9842,-1.5067,1.0104,1027,-4.0576,-1.7937
Occupancy,Canada Goose,Intercept,-0.5907,1.4641,-2.5149,-0.9223,3.2726,1.1692,208,-2.2898,2.4078
Occupancy,Carolina Wren,Intercept,0.1616,0.464,-0.5146,0.1111,1.0481,1.0437,902,-0.4539,0.8793
Occupancy,Cedar Waxwing,Intercept,0.0022,0.3708,-0.6218,-0.0405,0.8385,1.01,1200,-0.5304,0.696
Occupancy,Cerulean Warbler,Intercept,-5.6607,1.4643,-8.6291,-5.5875,-2.8659,1.0051,776,-8.1771,-3.342
Occupancy,Chipping Sparrow,Intercept,-0.8488,0.4134,-1.5009,-0.8872,0.0512,1.0106,1090,-1.4144,-0.1258
Occupancy,Chimney Swift,Intercept,1.152,0.7526,0.1916,0.9782,3.1167,1.0135,867,0.2665,2.5469
Occupancy,Cliff Swallow,Intercept,-4.1624,1.3446,-6.7508,-4.1988,-1.1803,1.0214,508,-6.2928,-1.8946
Occupancy,Common Grackle,Intercept,0.4992,0.5483,-0.3755,0.4178,1.7515,1.0031,1069,-0.2622,1.5048
Occupancy,Cooper's Hawk,Intercept,-2.3684,0.6207,-3.4126,-2.422,-0.9908,1.0019,951,-3.2618,-1.2761
Occupancy,Common Yellowthroat,Intercept,-1.0565,0.2325,-1.5287,-1.0539,-0.6225,1.0021,1200,-1.4423,-0.6794
Occupancy,Dark-eyed Junco,Intercept,-1.9554,0.4391,-2.748,-1.9692,-1.018,1.005,1200,-2.6229,-1.2164
Occupancy,Downy Woodpecker,Intercept,2.389,0.6652,1.4609,2.2749,3.9385,1.0008,1056,1.5586,3.6321
Occupancy,Eastern Bluebird,Intercept,-0.6399,0.677,-1.5638,-0.7498,0.9477,1.0073,662,-1.4284,0.4368
Occupancy,Eastern Kingbird,Intercept,-3.2049,0.5416,-4.2768,-3.1849,-2.1523,1.0125,1109,-4.1067,-2.3462
Occupancy,Eastern Meadowlark,Intercept,-4.2128,0.876,-5.9794,-4.1731,-2.5391,1.0009,1200,-5.7352,-2.8456
Occupancy,Eastern Phoebe,Intercept,-1.2194,0.5808,-2.0045,-1.2915,0.0363,1.0362,727,-1.9241,-0.3093
Occupancy,Eastern Towhee,Intercept,-1.3238,0.2953,-1.9179,-1.3181,-0.7412,0.9996,1200,-1.8354,-0.8307
Occupancy,Eastern Wood-Pewee,Intercept,2.5964,0.4304,1.858,2.5529,3.532,1.0114,1200,1.9791,3.3619
Occupancy,European Starling,Intercept,-2.0068,0.3766,-2.7539,-1.9966,-1.2988,1.0025,1200,-2.6514,-1.3987
Occupancy,Field Sparrow,Intercept,-3.0509,0.398,-3.8176,-3.0528,-2.3208,1.0081,1200,-3.7044,-2.4348
Occupancy,Great Blue Heron,Intercept,-1.9654,0.9715,-3.3548,-2.142,0.1905,1.0257,422,-3.154,-0.3457
Occupancy,Great Crested Flycatcher,Intercept,1.9156,1.0336,0.6052,1.6745,4.5502,0.9999,595,0.7082,4.0611
Occupancy,Great Horned Owl,Intercept,-4.2075,1.237,-6.5072,-4.2314,-1.821,1.0051,708,-6.2066,-2.1802
Occupancy,Gray Catbird,Intercept,0.093,0.2168,-0.3105,0.0919,0.5387,1.0006,1200,-0.2518,0.4664
Occupancy,Green Heron,Intercept,-4.356,1.2541,-6.7814,-4.3841,-1.7533,1.0226,588,-6.3757,-2.3056
Occupancy,Hairy Woodpecker,Intercept,1.313,1.1321,-0.1352,1.0688,4.3463,1.0345,464,0.0136,3.577
Occupancy,Herring Gull,Intercept,-4.8601,0.9603,-6.9573,-4.7559,-3.0878,1.0053,1032,-6.5342,-3.4052
Occupancy,Hermit Thrush,Intercept,-4.6385,0.7313,-6.2533,-4.5669,-3.3681,1.0048,1200,-5.9511,-3.5471
Occupancy,House Finch,Intercept,-0.5634,0.7817,-1.6409,-0.6811,1.2823,1.0092,653,-1.5129,0.7931
Occupancy,House Sparrow,Intercept,-1.7296,0.2925,-2.3109,-1.7353,-1.1729,1.0007,1528,-2.1987,-1.2558
Occupancy,Hooded Warbler,Intercept,-0.8806,0.2153,-1.3105,-0.8838,-0.4482,1.0066,1031,-1.2466,-0.5196
Occupancy,House Wren,Intercept,-0.1444,0.1825,-0.5008,-0.1459,0.2126,1.0032,1437,-0.4355,0.1565
Occupancy,Indigo Bunting,Intercept,-0.1168,0.1957,-0.5116,-0.1225,0.2612,1.003,1200,-0.4341,0.2025
Occupancy,Killdeer,Intercept,-2.7942,0.593,-3.931,-2.7985,-1.4876,1.0052,1200,-3.6727,-1.7715
