Process,Species,Covariate,Mean,SD,2.5CI,50CI,97.5CI,Rhat,ESS,5.0CI,95.0CI
Occupancy,House Sparrow,Intercept,-1.7705,0.3165,-2.3783,-1.7736,-1.1674,1.0046,1311,-2.2942,-1.2666
Occupancy,Hooded Warbler,Intercept,-0.8936,0.2216,-1.3101,-0.8984,-0.4576,1.0076,1200,-1.2469,-0.5273
Occupancy,House Wren,Intercept,-0.1521,0.1789,-0.493,-0.1495,0.1892,1.0116,1200,-0.4426,0.1477
Occupancy,Indigo Bunting,Intercept,-0.1185,0.2077,-0.5105,-0.1196,0.323,1.0047,1318,-0.4458,0.2416
Occupancy,Killdeer,Intercept,-2.9777,0.607,-4.1287,-2.9659,-1.7107,1.0116,1200,-3.9554,-1.9875
Occupancy,Louisiana Waterthrush,Intercept,-2.3514,0.5046,-3.2456,-2.3921,-1.2431,1.0108,1200,-3.1113,-1.4645
Occupancy,Mallard,Intercept,-2.2053,1.1945,-3.881,-2.4349,0.9046,1.0732,327,-3.668,0.1575
Occupancy,Mourning Dove,Intercept,-1.1253,0.5098,-2.0139,-1.169,-0.0237,1.0128,1336,-1.8906,-0.2259
Occupancy,Northern Cardinal,Intercept,2.6612,0.4154,1.9569,2.6112,3.5935,1.0042,1301,2.0644,3.4162
Occupancy,Northern Flicker,Intercept,1.1312,1.1987,-0.4418,0.8662,4.4485,1.0076,489,-0.3055,3.4692
Occupancy,Northern Parula,Intercept,-4.398,1.1616,-6.6943,-4.415,-1.9764,1.0175,907,-6.2715,-2.3755
Occupancy,Northern Rough-winged Swallow,Intercept,-2.0908,0.7159,-3.3175,-2.1448,-0.4619,1.0146,1083,-3.1526,-0.7288
Occupancy,Orchard Oriole,Intercept,-2.5441,0.5165,-3.5647,-2.5497,-1.5591,1.0069,1200,-3.4127,-1.7076
Occupancy,Ovenbird,Intercept,-2.7411,0.3799,-3.495,-2.7534,-1.9963,1.0017,1064,-3.3822,-2.0969
Occupancy,Pileated Woodpecker,Intercept,1.3278,1.2478,-0.2932,1.014,4.5003,1.0028,486,-0.0992,3.8978
Occupancy,Purple Finch,Intercept,-4.6182,1.2931,-7.0651,-4.6342,-1.9387,1.0184,720,-6.7146,-2.5202
Occupancy,Purple Martin,Intercept,-5.7645,1.6389,-9.2771,-5.6859,-2.7333,1.0081,602,-8.6066,-3.3179
Occupancy,Rose-breasted Grosbeak,Intercept,-0.0306,0.64,-0.929,-0.1319,1.4403,1.0027,873,-0.8291,1.0408
Occupancy,Ring-billed Gull,Intercept,-2.5974,0.6158,-3.5624,-2.6476,-1.3133,1.0347,455,-3.4718,-1.6445
Occupancy,Red-breasted Nuthatch,Intercept,-4.3215,1.3994,-6.8785,-4.3605,-1.1349,1.0129,532,-6.4637,-1.8609
Occupancy,Red-bellied Woodpecker,Intercept,3.1006,0.6479,2.0785,3.0266,4.5694,1.0042,1200,2.2019,4.2586
Occupancy,Red-eyed Vireo,Intercept,2.8748,0.4073,2.1383,2.8528,3.7559,1.0032,1787,2.243,3.5901
Occupancy,Red-headed Woodpecker,Intercept,-2.6122,0.9408,-4.1141,-2.715,-0.5804,1.0135,471,-3.882,-0.8964
Occupancy,Rock Pigeon,Intercept,-3.6747,1.0935,-5.7871,-3.7102,-1.4484,1.0108,660,-5.4487,-1.8426
Occupancy,Red-shouldered Hawk,Intercept,0.03,1.3537,-2.1209,-0.1729,3.194,1.0002,345,-1.7924,2.3426
Occupancy,Red-tailed Hawk,Intercept,-0.6877,1.2705,-2.5205,-0.9232,2.6374,1.0338,302,-2.258,1.7696
Occupancy,Ruby-throated Hummingbird,Intercept,2.0525,1.39,0.0207,1.8108,5.4609,1.024,537,0.2036,4.7782
Occupancy,Red-winged Blackbird,Intercept,-0.9361,0.2133,-1.3488,-0.9352,-0.5358,1.0001,1200,-1.2832,-0.5863
Occupancy,Savannah Sparrow,Intercept,-5.0307,1.0235,-7.3205,-4.9593,-3.0331,1.0052,742,-6.7879,-3.4024
Occupancy,Scarlet Tanager,Intercept,0.8502,0.379,0.2052,0.8272,1.6605,1.0004,1492,0.276,1.5027
Occupancy,Song Sparrow,Intercept,0.2887,0.1933,-0.0885,0.2832,0.6764,1.0001,1200,-0.0293,0.6171
Occupancy,Swamp Sparrow,Intercept,-3.6221,0.5157,-4.7225,-3.5944,-2.6902,1.0117,1200,-4.5056,-2.8003
Occupancy,Tennessee Warbler,Intercept,-5.8243,1.6636,-9.3059,-5.7092,-2.7516,1.0055,602,-8.7199,-3.1787
Occupancy,Tree Swallow,Intercept,-3.1204,0.5826,-4.2638,-3.1219,-1.8977,1.0001,1200,-4.0721,-2.1706
Occupancy,Tufted Titmouse,Intercept,3.1935,0.5845,2.3261,3.1203,4.6245,0.9999,1200,2.4271,4.2254
Occupancy,Turkey Vulture,Intercept,-1.0948,1.0513,-2.8063,-1.2164,1.1005,1.0027,707,-2.5978,0.6554
Occupancy,Veery,Intercept,-1.8523,0.5756,-2.832,-1.9106,-0.5464,1.0029,1090,-2.6558,-0.8698
Occupancy,Virginia Rail,Intercept,-5.7647,1.5659,-9.0737,-5.6851,-2.8961,1.0137,598,-8.2566,-3.3079
Occupancy,Warbling Vireo,Intercept,-1.9453,0.2904,-2.5138,-1.9416,-1.4033,1.0027,1200,-2.4266,-1.4854
Occupancy,White-breasted Nuthatch,Intercept,2.8798,0.8356,1.751,2.7197,4.9774,1.0048,864,1.8799,4.3641
Occupancy,White-eyed Vireo,Intercept,-5.25,1.0075,-7.6011,-5.1533,-3.5704,1.0095,992,-7.054,-3.7932
Occupancy,Willow Flycatcher,Intercept,-3.4582,0.5255,-4.5493,-3.4413,-2.5009,1.0077,1200,-4.3584,-2.6644
Occupancy,Wild Turkey,Intercept,-1.8149,1.6397,-3.906,-2.2459,2.6282,1.0049,206,-3.6765,1.4591
Occupancy,Winter Wren,Intercept,-4.3014,0.951,-6.3181,-4.2587,-2.357,0.9997,922,-5.9249,-2.8223
Occupancy,Wood Duck,Intercept,-3.7399,1.1144,-5.8403,-3.7944,-1.4504,1.0005,683,-5.4959,-1.8909
Occupancy,Wood Thrush,Intercept,0.93,0.3428,0.3574,0.8951,1.691,1.0018,1200,0.428,1.5555
Occupancy,Yellow-billed Cuckoo,Intercept,-1.6815,1.2099,-3.5389,-1.8751,1.2776,1.0222,414,-3.2934,0.524
Occupancy,Yellow Warbler,Intercept,-1.2739,0.278,-1.8247,-1.2696,-0.7158,1.0239,1200,-1.7123,-0.8257
Occupancy,Yellow-throated Vireo,Intercept,-1.5295,0.7001,-2.6394,-1.601,-0.0648,1.0498,516,-2.4803,-0.3324
Occupancy,Yellow-throated Warbler,Intercept,-3.011,0.8095,-4.3727,-3.094,-1.122,1.0923,463,-4.1283,-1.6786
Occupancy,Acadian Flycatcher,tol_rel,-1.267,0.2554,-1.8211,-1.263,-0.7882,1.0136,1200,-1.7145,-0.867
Occupancy,Alder Flycatcher,tol_rel,0.5414,0.5286,-0.4509,0.5323,1.6032,1.0112,1200,-0.3114,1.4298
Occupancy,American Crow,tol_rel,0.0961,0.2708,-0.3874,0.092,0.6551,1.0005,1039,-0.3263,0.5278
Occupancy,American Goldfinch,tol_rel,0.1545,0.4167,-0.6296,0.1276,1.0502,1.0052,1200,-0.4957,0.8554
Occupancy,American Kestrel,tol_rel,0.1516,0.5274,-0.9475,0.1592,1.1174,1.0018,1255,-0.7433,0.977
Occupancy,American Redstart,tol_rel,0.113,0.3549,-0.5931,0.1215,0.8155,1.0029,1200,-0.4738,0.6924
Occupancy,American Robin,tol_rel,0.4606,0.3775,-0.1892,0.4344,1.2588,1.0069,1200,-0.0979,1.1412
Occupancy,American Woodcock,tol_rel,0.1691,0.4676,-0.7714,0.1614,1.0896,1.0007,1200,-0.6251,0.9405
Occupancy,Barred Owl,tol_rel,0.6826,0.4796,-0.2426,0.6697,1.6775,1.0246,1088,-0.088,1.4878
Occupancy,Bald Eagle,tol_rel,0.2742,0.4664,-0.6259,0.2699,1.175,1.0046,1200,-0.4722,1.0519
Occupancy,Bank Swallow,tol_rel,0.8884,0.5075,-0.1351,0.8876,1.9091,1.0093,1200,0.0485,1.7054
Occupancy,Baltimore Oriole,tol_rel,0.7995,0.3008,0.2653,0.7754,1.4526,1.0137,1200,0.3394,1.2995
Occupancy,Barn Swallow,tol_rel,0.4945,0.3851,-0.1749,0.4529,1.3502,1.0003,1200,-0.0786,1.1879
Occupancy,Black-capped Chickadee,tol_rel,-0.3519,0.455,-1.1947,-0.3703,0.5938,1.0006,1200,-1.058,0.4313
Occupancy,Belted Kingfisher,tol_rel,0.2732,0.4003,-0.4453,0.2591,1.1741,1.0007,1737,-0.3325,0.9333
Occupancy,Blue-gray Gnatcatcher,tol_rel,-0.4289,0.2634,-0.9594,-0.4286,0.0819,1.0036,1405,-0.8905,-0.0023
Occupancy,Brown-headed Cowbird,tol_rel,0.7477,0.3747,0.0936,0.7153,1.5608,1.0066,1200,0.2011,1.4142
Occupancy,Blue-headed Vireo,tol_rel,0.0169,0.5552,-1.0764,0.0042,1.1518,1.0014,1200,-0.8764,0.9272
Occupancy,Blue Jay,tol_rel,-0.3567,0.3075,-0.9244,-0.3669,0.28,0.9993,1122,-0.8486,0.1537
Occupancy,Bobolink,tol_rel,0.0893,0.588,-1.0843,0.0989,1.2114,1.0036,1200,-0.9159,1.0304
Occupancy,Brown Creeper,tol_rel,-0.1026,0.3706,-0.8516,-0.0805,0.5804,1.0061,1200,-0.7364,0.4757
Occupancy,Brown Thrasher,tol_rel,1.2345,0.4631,0.4193,1.2022,2.2339,1.0138,1000,0.5369,2.054
Occupancy,Black-throated Green Warbler,tol_rel,0.1039,0.5913,-1.0764,0.1195,1.1887,0.9997,1083,-0.8802,1.0479
Occupancy,Broad-winged Hawk,tol_rel,-0.3274,0.5293,-1.4512,-0.3258,0.6361,0.9988,1200,-1.1858,0.4952
Occupancy,Blue-winged Warbler,tol_rel,0.6229,0.3931,-0.1336,0.6191,1.4077,1.0111,1322,0.0053,1.2972
Occupancy,Canada Goose,tol_rel,0.5581,0.4584,-0.327,0.566,1.483,1.0163,1303,-0.1636,1.2975
Occupancy,Carolina Wren,tol_rel,0.687,0.319,0.1351,0.6652,1.3868,1.0024,965,0.202,1.2583
Occupancy,Cedar Waxwing,tol_rel,0.6381,0.2763,0.1442,0.6197,1.2042,1.0035,1200,0.22,1.1194
Occupancy,Cerulean Warbler,tol_rel,0.1144,0.5777,-1.0815,0.1133,1.2456,1.0035,1200,-0.8486,1.0804
Occupancy,Chipping Sparrow,tol_rel,0.1979,0.278,-0.3044,0.1904,0.8004,1.0051,1047,-0.2269,0.6762
Occupancy,Chimney Swift,tol_rel,-0.0221,0.3604,-0.6408,-0.0524,0.8215,1.0039,1087,-0.5591,0.6017
Occupancy,Cliff Swallow,tol_rel,0.1352,0.5003,-0.8374,0.141,1.1167,1.0149,1200,-0.7005,0.9271
Occupancy,Common Grackle,tol_rel,0.561,0.3595,-0.0856,0.5212,1.3254,1,1200,0.0289,1.2129
Occupancy,Cooper's Hawk,tol_rel,0.4542,0.3582,-0.2098,0.4508,1.1609,1.0012,1183,-0.126,1.0215
Occupancy,Common Yellowthroat,tol_rel,0.6847,0.2277,0.2617,0.682,1.1378,1.0126,1200,0.3139,1.0551
Occupancy,Dark-eyed Junco,tol_rel,-0.5121,0.3671,-1.2833,-0.4941,0.1658,1.001,1200,-1.1635,0.0639
Occupancy,Downy Woodpecker,tol_rel,0.1319,0.3389,-0.5167,0.1268,0.8379,1.0027,1200,-0.4197,0.7155
Occupancy,Eastern Bluebird,tol_rel,0.3175,0.3067,-0.2618,0.3064,0.9542,1.008,1303,-0.1646,0.8147
Occupancy,Eastern Kingbird,tol_rel,0.7866,0.3405,0.1518,0.7902,1.4546,1.0009,1200,0.2344,1.3336
Occupancy,Eastern Meadowlark,tol_rel,0.0178,0.5002,-0.9925,0.0353,0.9746,1.0019,1402,-0.8769,0.8457
Occupancy,Eastern Phoebe,tol_rel,-0.4941,0.3334,-1.2009,-0.4765,0.1362,1.0029,1200,-1.0777,0.0183
Occupancy,Eastern Towhee,tol_rel,0.6125,0.2599,0.1179,0.613,1.1116,1.0017,1200,0.1938,1.0457
Occupancy,Eastern Wood-Pewee,tol_rel,-0.9553,0.2886,-1.5293,-0.9437,-0.4296,1.0024,1200,-1.4493,-0.5185
Occupancy,European Starling,tol_rel,0.7028,0.2633,0.2174,0.6972,1.25,1.0046,1309,0.2895,1.1391
Occupancy,Field Sparrow,tol_rel,0.6494,0.2912,0.1061,0.6488,1.2622,1.0114,1200,0.1849,1.1392
Occupancy,Great Blue Heron,tol_rel,0.1328,0.3839,-0.6008,0.1207,0.9384,1.0003,1200,-0.4727,0.774
Occupancy,Great Crested Flycatcher,tol_rel,-0.3814,0.4395,-1.1168,-0.4332,0.6206,1.0059,1038,-1.0154,0.3926
Occupancy,Great Horned Owl,tol_rel,0.1382,0.5606,-1.0407,0.1533,1.2142,1.0033,1200,-0.79,1.022
Occupancy,Gray Catbird,tol_rel,0.7737,0.2282,0.346,0.7655,1.2504,1.0152,1200,0.4025,1.1446
Occupancy,Green Heron,tol_rel,0.2794,0.5395,-0.7984,0.2878,1.3336,1.0072,926,-0.5905,1.1518
Occupancy,Hairy Woodpecker,tol_rel,-0.6512,0.4107,-1.363,-0.6836,0.2942,1.0093,1037,-1.2571,0.0669
Occupancy,Herring Gull,tol_rel,-0.157,0.5274,-1.2734,-0.1432,0.8262,1.0082,1200,-1.043,0.6633
Occupancy,Hermit Thrush,tol_rel,-0.2313,0.5304,-1.3161,-0.2013,0.7367,1.0008,1125,-1.1419,0.5714
Occupancy,House Finch,tol_rel,0.1867,0.3794,-0.5222,0.1835,0.9696,1.0064,1200,-0.4257,0.8583
Occupancy,House Sparrow,tol_rel,0.1886,0.2489,-0.2751,0.1877,0.6769,1.0006,1200,-0.2189,0.5916
Occupancy,Hooded Warbler,tol_rel,-0.4268,0.2467,-0.9264,-0.4218,0.0352,1.0029,1200,-0.8436,-0.0441
Occupancy,House Wren,tol_rel,0.2119,0.1894,-0.1538,0.2111,0.5748,1.0018,1200,-0.1031,0.5201
Occupancy,Indigo Bunting,tol_rel,0.3765,0.2106,-0.0073,0.3668,0.8026,1.0051,1126,0.051,0.7311
Occupancy,Killdeer,tol_rel,0.7528,0.3536,0.1175,0.7381,1.5137,1.0042,1200,0.2015,1.3474
Occupancy,Louisiana Waterthrush,tol_rel,-0.0751,0.3531,-0.7426,-0.0709,0.611,1.0041,1200,-0.6482,0.501
Occupancy,Mallard,tol_rel,0.1938,0.4228,-0.6138,0.1756,1.0424,1.0005,1008,-0.4873,0.8779
Occupancy,Mourning Dove,tol_rel,0.9647,0.3389,0.3349,0.9414,1.6842,1.0026,1081,0.4347,1.5198
Occupancy,Northern Cardinal,tol_rel,0.4414,0.3516,-0.2417,0.4312,1.1762,1.0061,1200,-0.1279,1.0347
Occupancy,Northern Flicker,tol_rel,0.278,0.4838,-0.639,0.2508,1.3194,1.0088,1200,-0.4667,1.1075
Occupancy,Northern Parula,tol_rel,-0.2899,0.5337,-1.3744,-0.2888,0.7395,1.0098,1200,-1.2023,0.5626
Occupancy,Northern Rough-winged Swallow,tol_rel,0.5697,0.3802,-0.0956,0.5517,1.4002,1.0014,1200,0.0031,1.2491
Occupancy,Orchard Oriole,tol_rel,0.995,0.3273,0.4139,0.9761,1.6756,1.0082,1200,0.4956,1.5615
Occupancy,Ovenbird,tol_rel,-0.1736,0.3451,-0.8392,-0.1761,0.4643,1.0015,1327,-0.738,0.3719
Occupancy,Pileated Woodpecker,tol_rel,-0.2246,0.4444,-1.0145,-0.2492,0.7505,1.0108,1200,-0.8767,0.5647
Occupancy,Purple Finch,tol_rel,0.5913,0.5095,-0.3599,0.5913,1.6102,1.0079,1200,-0.2166,1.4008
Occupancy,Purple Martin,tol_rel,0.1103,0.5899,-1.0359,0.1084,1.3139,1.0177,657,-0.8463,1.0976
Occupancy,Rose-breasted Grosbeak,tol_rel,0.1737,0.3002,-0.3701,0.1577,0.8031,1.002,1312,-0.2872,0.6804
Occupancy,Ring-billed Gull,tol_rel,0.263,0.3367,-0.3649,0.2614,0.9057,1.0024,1425,-0.2993,0.8267
Occupancy,Red-breasted Nuthatch,tol_rel,0.1318,0.5268,-0.9594,0.1235,1.1438,1.001,1200,-0.7384,0.9946
Occupancy,Red-bellied Woodpecker,tol_rel,-0.6218,0.387,-1.3384,-0.6376,0.2258,1.0047,1330,-1.2337,0.0583
Occupancy,Red-eyed Vireo,tol_rel,-1.0215,0.2796,-1.5891,-1.0223,-0.4775,1.0138,1200,-1.4693,-0.5763
Occupancy,Red-headed Woodpecker,tol_rel,-0.326,0.4512,-1.2448,-0.3179,0.5301,1.0006,1200,-1.0926,0.3589
Occupancy,Rock Pigeon,tol_rel,-0.0222,0.5085,-0.9591,-0.0201,1.0303,1.0006,1219,-0.8223,0.8074
Occupancy,Red-shouldered Hawk,tol_rel,-0.0181,0.529,-1.0253,-0.0472,1.0933,1.0107,1299,-0.8535,0.9228
Occupancy,Red-tailed Hawk,tol_rel,0.3683,0.41,-0.3798,0.3504,1.2605,1.0035,1200,-0.2622,1.0576
Occupancy,Ruby-throated Hummingbird,tol_rel,0.2975,0.5197,-0.6989,0.2817,1.3295,1.0009,910,-0.545,1.1259
Occupancy,Red-winged Blackbird,tol_rel,0.7366,0.2176,0.3237,0.7371,1.1623,1.0031,1200,0.3927,1.0956
Occupancy,Savannah Sparrow,tol_rel,0.1466,0.5268,-0.8281,0.1406,1.153,1.0059,1200,-0.6988,1.0162
Occupancy,Scarlet Tanager,tol_rel,-1.0621,0.2875,-1.6177,-1.0583,-0.5001,1.0144,1200,-1.5407,-0.5923
Occupancy,Song Sparrow,tol_rel,0.7664,0.2267,0.351,0.747,1.2424,1.0181,1200,0.4152,1.1563
Occupancy,Swamp Sparrow,tol_rel,0.3745,0.3479,-0.3294,0.3761,1.0958,1.0015,1200,-0.199,0.9525
Occupancy,Tennessee Warbler,tol_rel,0.1052,0.6137,-1.0864,0.1125,1.3293,1.003,1468,-0.8847,1.1023
Occupancy,Tree Swallow,tol_rel,0.8699,0.331,0.2338,0.8647,1.5067,1.0002,1200,0.3262,1.436
Occupancy,Tufted Titmouse,tol_rel,-0.5437,0.3649,-1.2491,-0.5455,0.1863,1.0014,1345,-1.1205,0.0496
Occupancy,Turkey Vulture,tol_rel,0.7207,0.4782,-0.106,0.7016,1.76,1.0039,1161,-0.0152,1.5705
Occupancy,Veery,tol_rel,0.0346,0.3387,-0.6287,0.042,0.6657,1.0028,1010,-0.5252,0.5681
Occupancy,Virginia Rail,tol_rel,0.1173,0.564,-0.9531,0.1032,1.2074,1.0027,1200,-0.7741,1.0661
Occupancy,Warbling Vireo,tol_rel,0.6796,0.2483,0.1965,0.6797,1.1796,1.0096,1200,0.2842,1.082
Occupancy,White-breasted Nuthatch,tol_rel,-0.4994,0.4206,-1.2539,-0.5215,0.3981,0.9993,922,-1.1468,0.2135
Occupancy,White-eyed Vireo,tol_rel,-0.1036,0.5513,-1.1959,-0.0918,0.919,0.9993,1200,-1.0177,0.7958
Occupancy,Willow Flycatcher,tol_rel,1.1755,0.3431,0.5352,1.1844,1.8488,1.0041,1258,0.6153,1.7406
Occupancy,Wild Turkey,tol_rel,-0.4356,0.5231,-1.4361,-0.4276,0.5772,1,1009,-1.2827,0.4037
Occupancy,Winter Wren,tol_rel,-0.3672,0.5249,-1.3946,-0.3597,0.6823,1.001,1200,-1.2837,0.4841
Occupancy,Wood Duck,tol_rel,0.4306,0.4888,-0.5067,0.416,1.4379,1.0053,1200,-0.3246,1.2313
Occupancy,Wood Thrush,tol_rel,-0.4867,0.2349,-0.9682,-0.4843,-0.0378,1.001,1303,-0.8794,-0.1037
Occupancy,Yellow-billed Cuckoo,tol_rel,0.0335,0.4326,-0.7772,0.0392,0.8762,1.004,1419,-0.6495,0.7351
Occupancy,Yellow Warbler,tol_rel,1.0415,0.2664,0.5592,1.0343,1.5889,1.0087,1200,0.6218,1.5096
Occupancy,Yellow-throated Vireo,tol_rel,-0.5708,0.3969,-1.3641,-0.5458,0.1663,1.0091,1200,-1.2684,0.0614
Occupancy,Yellow-throated Warbler,tol_rel,-0.0377,0.4213,-0.9002,-0.0232,0.7962,1.0078,1311,-0.7313,0.6493
Occupancy,Acadian Flycatcher,svp,0.748,0.2548,0.2699,0.742,1.2939,1.0117,1200,0.3332,1.1939
Occupancy,Alder Flycatcher,svp,0.0024,0.3983,-0.805,0.0017,0.7897,1.0034,1200,-0.6513,0.6538
