Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory
Occupancy,Downy Woodpecker,svp,0.0212,0.2894,-0.4437,0.0189,0.4845,1.0008,1200,R
Occupancy,Eastern Bluebird,svp,0.1922,0.2503,-0.1979,0.1826,0.5994,1.0017,1200,M
Occupancy,Eastern Kingbird,svp,-0.0335,0.2647,-0.4832,-0.0412,0.4141,1.0003,1312,NE
Occupancy,Eastern Meadowlark,svp,-0.1188,0.3059,-0.6253,-0.122,0.387,1.0019,1200,M
Occupancy,Eastern Phoebe,svp,-0.027,0.2369,-0.4189,-0.0191,0.3462,1.0238,1200,M
Occupancy,Eastern Towhee,svp,-0.2079,0.2264,-0.5926,-0.2081,0.1517,1.0002,1200,M
Occupancy,Eastern Wood-Pewee,svp,-0.1004,0.2776,-0.5436,-0.1112,0.3821,1.0003,1133,NE
Occupancy,European Starling,svp,-0.4302,0.2803,-0.9235,-0.423,0.0279,0.9996,1200,R
Occupancy,Field Sparrow,svp,-0.21,0.2587,-0.639,-0.2026,0.2257,1.0055,1200,M
Occupancy,Great Blue Heron,svp,-0.0902,0.2914,-0.5946,-0.0935,0.3696,1.0034,1200,M
Occupancy,Great Crested Flycatcher,svp,-0.007,0.2895,-0.4798,-0.0026,0.4744,1.0008,1376,NE
Occupancy,Great Horned Owl,svp,-0.0727,0.3206,-0.5724,-0.0792,0.4408,1.0044,1200,R
Occupancy,Gray Catbird,svp,-0.2728,0.1972,-0.5997,-0.2707,0.0481,1.0036,1341,M
Occupancy,Green Heron,svp,-0.0858,0.3275,-0.6473,-0.0758,0.4276,1.0014,1200,M
Occupancy,Hairy Woodpecker,svp,-0.0677,0.3097,-0.5778,-0.0638,0.4457,1.0081,1200,R
Occupancy,Herring Gull,svp,-0.1592,0.3211,-0.6748,-0.146,0.3338,1.0123,1200,R
Occupancy,Hermit Thrush,svp,0.1712,0.3016,-0.2892,0.162,0.6776,1.0036,1200,NE
Occupancy,House Finch,svp,-0.3816,0.2793,-0.8801,-0.376,0.0546,1.0043,1200,R
Occupancy,House Sparrow,svp,-0.5338,0.2693,-0.987,-0.5171,-0.1249,1.0091,1200,R
Occupancy,Hooded Warbler,svp,0.2407,0.2009,-0.0763,0.2379,0.5918,1.0026,1200,NE
Occupancy,House Wren,svp,-0.2939,0.1861,-0.5933,-0.291,0.0187,1.0148,1369,M
Occupancy,Indigo Bunting,svp,-0.2125,0.1883,-0.5421,-0.2074,0.0827,1.0118,1200,NE
Occupancy,Killdeer,svp,-0.1884,0.2858,-0.6702,-0.1816,0.283,1.0014,1246,M
Occupancy,Louisiana Waterthrush,svp,-0.0992,0.2538,-0.4903,-0.1068,0.3165,1.001,1190,NE
Occupancy,Mallard,svp,-0.2153,0.3057,-0.7171,-0.2102,0.2778,1.0144,1200,M
Occupancy,Mourning Dove,svp,-0.0236,0.2536,-0.4381,-0.0247,0.3837,1.0066,967,M
Occupancy,Northern Cardinal,svp,-0.0041,0.2512,-0.4036,-0.0116,0.4056,1.0153,844,R
Occupancy,Northern Flicker,svp,-0.0511,0.2715,-0.495,-0.0539,0.3864,1.0059,1308,M
Occupancy,Northern Parula,svp,-0.1296,0.3273,-0.6699,-0.1267,0.3953,0.9997,1200,M
Occupancy,Northern Rough-winged Swallow,svp,-0.1389,0.2872,-0.6294,-0.1441,0.3023,1.0097,1200,M
Occupancy,Orchard Oriole,svp,-0.1087,0.272,-0.5587,-0.1032,0.3339,1.001,1200,NE
Occupancy,Ovenbird,svp,-0.0589,0.2523,-0.4677,-0.058,0.3227,1.0007,1200,NE
Occupancy,Pileated Woodpecker,svp,0.0306,0.2948,-0.4429,0.028,0.5183,1.0025,1200,R
Occupancy,Purple Finch,svp,-0.0057,0.317,-0.5252,-0.0049,0.5192,1.0017,1335,M
Occupancy,Purple Martin,svp,-0.082,0.3352,-0.6129,-0.082,0.4844,1.0103,1200,NE
Occupancy,Rose-breasted Grosbeak,svp,-0.3646,0.2584,-0.7847,-0.349,0.0298,1.0161,1200,NE
Occupancy,Ring-billed Gull,svp,0.0532,0.2822,-0.3992,0.0473,0.544,1.0066,1303,R
Occupancy,Red-breasted Nuthatch,svp,-0.0709,0.3044,-0.5756,-0.0745,0.4314,1.0009,1200,M
Occupancy,Red-bellied Woodpecker,svp,-0.0253,0.3037,-0.5117,-0.0352,0.4653,1.0083,1266,R
Occupancy,Red-eyed Vireo,svp,0.1201,0.2848,-0.3222,0.1098,0.5985,0.9995,1200,NE
Occupancy,Red-headed Woodpecker,svp,-0.3076,0.298,-0.8177,-0.3028,0.1843,1.0021,1062,R
Occupancy,Rock Pigeon,svp,-0.2036,0.3258,-0.7678,-0.1773,0.3121,1.0157,1200,R
Occupancy,Red-shouldered Hawk,svp,-0.236,0.325,-0.765,-0.2321,0.2909,1.0043,1100,R
Occupancy,Red-tailed Hawk,svp,-0.2173,0.3003,-0.7277,-0.2053,0.2612,1.0075,1200,R
Occupancy,Ruby-throated Hummingbird,svp,-0.036,0.3075,-0.5294,-0.0444,0.4627,1.0124,1200,NE
Occupancy,Red-winged Blackbird,svp,-0.2212,0.2129,-0.5749,-0.2282,0.1192,1.0001,1200,M
Occupancy,Savannah Sparrow,svp,-0.1424,0.3276,-0.6895,-0.138,0.3863,1.0024,1200,M
Occupancy,Scarlet Tanager,svp,0.2203,0.2562,-0.2054,0.2157,0.6464,1.0197,1200,NE
Occupancy,Song Sparrow,svp,-0.1496,0.1791,-0.4492,-0.1439,0.1315,1.0056,1034,R
Occupancy,Swamp Sparrow,svp,-0.1336,0.2872,-0.6101,-0.1229,0.3094,1.0023,1200,M
Occupancy,Tree Swallow,svp,-0.0841,0.2797,-0.5537,-0.0812,0.363,1.0037,1200,M
Occupancy,Tufted Titmouse,svp,0.0212,0.2886,-0.4378,0.0181,0.5041,1.0057,1200,R
Occupancy,Turkey Vulture,svp,-0.2853,0.3225,-0.8556,-0.2648,0.2142,1.0016,1200,M
Occupancy,Veery,svp,0.0354,0.2422,-0.3574,0.0329,0.4417,0.999,1200,NE
Occupancy,Virginia Rail,svp,-0.0755,0.3284,-0.6459,-0.0674,0.4402,1.0105,1200,M
Occupancy,Warbling Vireo,svp,-0.2695,0.2654,-0.7241,-0.2578,0.1617,1.0112,1200,NE
Occupancy,White-breasted Nuthatch,svp,0.0012,0.3071,-0.4873,-0.0151,0.5164,1.0035,1200,R
Occupancy,White-eyed Vireo,svp,-0.1129,0.3184,-0.6439,-0.1109,0.412,1.0026,1200,NE
Occupancy,Willow Flycatcher,svp,-0.1336,0.2793,-0.6031,-0.1231,0.3037,1.003,1200,NE
Occupancy,Wild Turkey,svp,-0.0917,0.3022,-0.5794,-0.0864,0.3939,1.001,1200,R
Occupancy,Winter Wren,svp,0.239,0.315,-0.2406,0.2279,0.7695,1.0158,1200,M
Occupancy,Wood Duck,svp,-0.1571,0.3193,-0.6819,-0.1555,0.3566,1.0162,1200,M
Occupancy,Wood Thrush,svp,-0.0352,0.2494,-0.4428,-0.0476,0.3884,1.0012,1200,NE
Occupancy,Yellow-billed Cuckoo,svp,0.2299,0.2804,-0.2169,0.2312,0.6866,1.0081,1077,NE
Occupancy,Yellow Warbler,svp,-0.252,0.2355,-0.6433,-0.2445,0.1275,0.9996,1200,NE
Occupancy,Yellow-throated Vireo,svp,0.1573,0.259,-0.2597,0.1502,0.5895,1.0068,1200,NE
Occupancy,Yellow-throated Warbler,svp,-0.1205,0.2842,-0.6115,-0.1011,0.3268,1.0095,1102,NE
Occupancy,Acadian Flycatcher,dicot,0.3522,0.2093,0.0211,0.342,0.705,1.0055,1200,NE
Occupancy,Alder Flycatcher,dicot,0.1723,0.2806,-0.3021,0.1708,0.6238,1.0147,1200,NE
Occupancy,American Crow,dicot,0.1582,0.1826,-0.146,0.1533,0.4633,0.9996,1334,R
Occupancy,American Goldfinch,dicot,0.257,0.2457,-0.1544,0.2565,0.6587,1.0047,1200,M
Occupancy,American Kestrel,dicot,0.2748,0.2721,-0.1565,0.2721,0.7365,1.0036,1226,R
Occupancy,American Redstart,dicot,0.2631,0.2301,-0.1114,0.2578,0.6462,1.0171,1388,NE
Occupancy,American Robin,dicot,0.0954,0.2209,-0.2632,0.0962,0.4798,1.0083,1090,M
Occupancy,American Woodcock,dicot,0.1805,0.2717,-0.2824,0.1968,0.6061,1.01,1200,M
Occupancy,Barred Owl,dicot,0.1387,0.2627,-0.2905,0.1435,0.5622,1.0083,1095,R
Occupancy,Bald Eagle,dicot,0.2196,0.2712,-0.2236,0.2238,0.6631,1.0284,1200,R
Occupancy,Bank Swallow,dicot,0.2119,0.2606,-0.2107,0.2159,0.6331,1.0018,1394,NE
Occupancy,Baltimore Oriole,dicot,0.5204,0.1959,0.2175,0.5159,0.8487,1.0006,1200,NE
Occupancy,Barn Swallow,dicot,0.5232,0.2327,0.1725,0.5108,0.9343,1.0094,1099,NE
Occupancy,Black-capped Chickadee,dicot,0.2712,0.2664,-0.1778,0.2688,0.7036,1.0022,1200,R
Occupancy,Belted Kingfisher,dicot,0.4127,0.2457,0.0307,0.3999,0.8267,1.0047,1200,R
Occupancy,Blue-gray Gnatcatcher,dicot,0.3695,0.2223,0.0109,0.3716,0.7306,1.0027,1058,M
Occupancy,Brown-headed Cowbird,dicot,0.527,0.2524,0.1247,0.5174,0.9579,1.0032,1200,M
Occupancy,Blue-headed Vireo,dicot,0.3032,0.2617,-0.1357,0.3043,0.7254,1.0129,1200,NE
Occupancy,Blue Jay,dicot,-0.0425,0.2418,-0.4552,-0.0372,0.3322,1.002,1200,M
Occupancy,Bobolink,dicot,0.2796,0.2736,-0.1549,0.2806,0.728,1.0024,1200,NE
Occupancy,Brown Creeper,dicot,0.4228,0.2317,0.0493,0.4187,0.8229,1.0154,1200,M
Occupancy,Brown Thrasher,dicot,0.2318,0.258,-0.1931,0.2318,0.6587,1.002,1200,M
Occupancy,Black-throated Green Warbler,dicot,0.2586,0.2682,-0.1652,0.263,0.7065,1.0039,865,NE
Occupancy,Broad-winged Hawk,dicot,0.3017,0.2557,-0.1124,0.2987,0.7329,1.0109,998,NE
Occupancy,Blue-winged Warbler,dicot,0.2559,0.2444,-0.1365,0.2504,0.6577,0.9999,1200,NE
Occupancy,Canada Goose,dicot,0.3032,0.2494,-0.085,0.3049,0.7148,1.0029,1200,R
Occupancy,Carolina Wren,dicot,0.2666,0.2209,-0.0783,0.2542,0.6632,1.0022,1200,R
Occupancy,Cedar Waxwing,dicot,0.1671,0.1985,-0.1638,0.1679,0.4958,1.0155,932,M
Occupancy,Cerulean Warbler,dicot,0.277,0.2833,-0.2074,0.2858,0.7427,1.0297,1200,NE
Occupancy,Chipping Sparrow,dicot,0.2481,0.2035,-0.0993,0.2476,0.5663,1.0027,1200,M
Occupancy,Chimney Swift,dicot,0.229,0.2259,-0.1303,0.2305,0.5884,1.0055,1200,NE
Occupancy,Cliff Swallow,dicot,0.2027,0.2664,-0.2254,0.2107,0.6273,1.0137,1200,NE
Occupancy,Common Grackle,dicot,0.0305,0.2233,-0.3473,0.0355,0.3748,1.004,833,M
Occupancy,Cooper's Hawk,dicot,0.0813,0.2476,-0.3369,0.0905,0.467,1.0117,1200,M
Occupancy,Common Yellowthroat,dicot,0.4414,0.1827,0.1492,0.4405,0.7488,1.0042,1200,NE
Occupancy,Dark-eyed Junco,dicot,0.0965,0.2259,-0.2641,0.0987,0.4657,1,1374,R
Occupancy,Downy Woodpecker,dicot,0.3192,0.2574,-0.0826,0.3054,0.7445,1.0183,1200,R
Occupancy,Eastern Bluebird,dicot,0.187,0.2411,-0.1961,0.1811,0.589,1.0161,1483,M
Occupancy,Eastern Kingbird,dicot,0.4548,0.2417,0.0601,0.4467,0.8302,1.004,1200,NE
Occupancy,Eastern Meadowlark,dicot,0.4426,0.267,0.0281,0.4299,0.8897,1.0034,1533,M
Occupancy,Eastern Phoebe,dicot,0.2871,0.2225,-0.0773,0.2827,0.6673,1.0087,1024,M
Occupancy,Eastern Towhee,dicot,0.5021,0.1942,0.193,0.4945,0.8252,1.0011,1200,M
Occupancy,Eastern Wood-Pewee,dicot,0.3422,0.2351,-0.0366,0.3319,0.7284,1.012,1200,NE
Occupancy,European Starling,dicot,0.1965,0.2191,-0.1566,0.1954,0.5405,1.0049,1007,R
Occupancy,Field Sparrow,dicot,0.1812,0.211,-0.1758,0.1841,0.5278,1.0061,1129,M
Occupancy,Great Blue Heron,dicot,0.1184,0.2422,-0.2921,0.127,0.518,1.0003,1200,M
Occupancy,Great Crested Flycatcher,dicot,0.2437,0.2291,-0.1326,0.2365,0.6356,1.0173,944,NE
Occupancy,Great Horned Owl,dicot,0.3242,0.2653,-0.1049,0.3172,0.7647,1.0093,1200,R
Occupancy,Gray Catbird,dicot,0.3923,0.1722,0.1094,0.3893,0.6812,1.0041,1200,M
Occupancy,Green Heron,dicot,0.2734,0.2693,-0.1882,0.2763,0.7002,1.0226,1200,M
Occupancy,Hairy Woodpecker,dicot,0.2942,0.2544,-0.1175,0.2881,0.7327,1.0128,1200,R
Occupancy,Herring Gull,dicot,0.3053,0.2644,-0.0994,0.2881,0.7486,1.0237,1200,R
Occupancy,Hermit Thrush,dicot,0.3064,0.2589,-0.1255,0.3016,0.7475,1.02,1200,NE
Occupancy,House Finch,dicot,0.1626,0.233,-0.2414,0.168,0.5303,1.0002,1200,R
Occupancy,House Sparrow,dicot,0.1002,0.2082,-0.2618,0.1039,0.4339,1.0034,1200,R
Occupancy,Hooded Warbler,dicot,0.6762,0.2149,0.3447,0.6565,1.0554,1.0027,1200,NE
Occupancy,House Wren,dicot,0.0402,0.1722,-0.2623,0.0418,0.3118,1.0399,1200,M
Occupancy,Indigo Bunting,dicot,0.4163,0.1715,0.1449,0.4158,0.6971,1.0032,1200,NE
Occupancy,Killdeer,dicot,0.3728,0.235,0.0036,0.3763,0.7794,1.0159,1200,M
Occupancy,Louisiana Waterthrush,dicot,0.4193,0.229,0.0579,0.4072,0.8117,1.0019,1200,NE
Occupancy,Mallard,dicot,0.2351,0.2495,-0.1896,0.2368,0.6412,1.0026,1200,M
Occupancy,Mourning Dove,dicot,0.3401,0.2256,-0.0472,0.3397,0.7058,1.0031,1200,M
Occupancy,Northern Cardinal,dicot,0.244,0.222,-0.0935,0.2353,0.6038,1.0078,1372,R
Occupancy,Northern Flicker,dicot,0.2802,0.2196,-0.0774,0.2806,0.6567,1.0013,1200,M
Occupancy,Northern Parula,dicot,0.1929,0.2642,-0.2619,0.203,0.6116,1.0117,1676,M
Occupancy,Northern Rough-winged Swallow,dicot,0.3861,0.2482,-0.0078,0.3849,0.7951,1.0147,1200,M
Occupancy,Orchard Oriole,dicot,0.0873,0.2412,-0.3068,0.0897,0.4784,0.9995,1149,NE
Occupancy,Ovenbird,dicot,0.2398,0.2214,-0.1356,0.2501,0.5999,1.007,1183,NE
Occupancy,Pileated Woodpecker,dicot,0.3883,0.2485,-0.022,0.3908,0.7926,1.0019,1199,R
Occupancy,Purple Finch,dicot,0.26,0.2658,-0.1627,0.266,0.708,1.0001,1200,M
Occupancy,Purple Martin,dicot,0.2622,0.2671,-0.1908,0.2621,0.7147,1.0016,1200,NE
Occupancy,Rose-breasted Grosbeak,dicot,0.0893,0.237,-0.3168,0.0965,0.4694,1.0005,1200,NE
Occupancy,Ring-billed Gull,dicot,0.2167,0.242,-0.1855,0.2234,0.596,1.0042,1093,R
Occupancy,Red-breasted Nuthatch,dicot,0.2877,0.27,-0.1543,0.2932,0.714,1.028,1200,M
Occupancy,Red-bellied Woodpecker,dicot,0.3801,0.2647,-0.0454,0.3718,0.8346,1.0078,1200,R
Occupancy,Red-eyed Vireo,dicot,0.4286,0.2394,0.0455,0.4207,0.8458,1.0376,1200,NE
Occupancy,Red-headed Woodpecker,dicot,0.1781,0.25,-0.2441,0.1904,0.5743,1.0021,1101,R
Occupancy,Rock Pigeon,dicot,0.1774,0.267,-0.2428,0.1833,0.6014,1.0098,1085,R
Occupancy,Red-shouldered Hawk,dicot,0.2312,0.2622,-0.1982,0.2307,0.6606,1.0341,1200,R
Occupancy,Red-tailed Hawk,dicot,-0.0856,0.2792,-0.5518,-0.0811,0.3547,1.0292,845,R
Occupancy,Ruby-throated Hummingbird,dicot,0.3655,0.2829,-0.0814,0.3583,0.8402,1.0146,1200,NE
Occupancy,Red-winged Blackbird,dicot,0.0148,0.1869,-0.3149,0.0232,0.3054,0.9993,1200,M
Occupancy,Savannah Sparrow,dicot,0.27,0.2665,-0.1641,0.2699,0.7009,1.0182,1200,M
Occupancy,Scarlet Tanager,dicot,0.3609,0.228,-0.0209,0.3592,0.7377,1.013,1200,NE
Occupancy,Song Sparrow,dicot,0.2648,0.1736,-0.0311,0.2688,0.5447,1.0038,1200,R
Occupancy,Swamp Sparrow,dicot,0.1812,0.2422,-0.217,0.1824,0.5763,1.0008,1200,M
Occupancy,Tree Swallow,dicot,0.2042,0.2356,-0.1953,0.2048,0.5814,1.0008,1200,M
Occupancy,Tufted Titmouse,dicot,0.3102,0.2487,-0.0867,0.304,0.7299,1.0033,1297,R
Occupancy,Turkey Vulture,dicot,0.2222,0.2666,-0.2035,0.2293,0.6328,1.009,1200,M
Occupancy,Veery,dicot,0.3878,0.2261,0.0227,0.3852,0.7616,1.0004,1427,NE
Occupancy,Virginia Rail,dicot,0.2508,0.2714,-0.177,0.236,0.721,1.0031,1200,M
Occupancy,Warbling Vireo,dicot,0.385,0.2088,0.0554,0.3816,0.721,0.9999,1021,NE
Occupancy,White-breasted Nuthatch,dicot,0.3153,0.2631,-0.1105,0.3088,0.7432,1.0126,1200,R
Occupancy,White-eyed Vireo,dicot,0.3448,0.2588,-0.0821,0.3431,0.7619,1.0053,1702,NE
Occupancy,Willow Flycatcher,dicot,0.1552,0.2336,-0.2447,0.1656,0.5376,1.0033,1472,NE
Occupancy,Wild Turkey,dicot,0.1835,0.2781,-0.2945,0.1879,0.6408,1.0002,1200,R
Occupancy,Winter Wren,dicot,0.2749,0.2532,-0.1413,0.2778,0.6824,1.0079,1028,M
Occupancy,Wood Duck,dicot,0.2983,0.2564,-0.1158,0.2972,0.7269,0.9996,1200,M
Occupancy,Wood Thrush,dicot,0.3252,0.2165,-0.0093,0.315,0.7003,1.01,1056,NE
Occupancy,Yellow-billed Cuckoo,dicot,0.3062,0.2633,-0.1248,0.3058,0.7376,0.9999,1200,NE
Occupancy,Yellow Warbler,dicot,0.1572,0.2023,-0.1581,0.1594,0.4775,1.0056,1200,NE
Occupancy,Yellow-throated Vireo,dicot,0.2474,0.2336,-0.1433,0.237,0.6417,1.0081,1200,NE
Occupancy,Yellow-throated Warbler,dicot,0.4466,0.2385,0.0615,0.4398,0.8445,1.004,1200,NE
Occupancy,Acadian Flycatcher,cyper,0.035,0.1949,-0.2833,0.0335,0.3594,1.0012,1200,NE
Occupancy,Alder Flycatcher,cyper,0.0377,0.3076,-0.4438,0.0357,0.5526,0.9997,1200,NE
Occupancy,American Crow,cyper,0.011,0.2097,-0.3491,0.0136,0.3535,1,1200,R
Occupancy,American Goldfinch,cyper,0.0575,0.2619,-0.365,0.0498,0.5001,1.0107,1200,M
Occupancy,American Kestrel,cyper,-0.2262,0.2988,-0.7222,-0.2239,0.2616,1.0083,1200,R
Occupancy,American Redstart,cyper,-0.0631,0.2517,-0.4733,-0.0676,0.3542,1.0002,1103,NE
Occupancy,American Robin,cyper,0.1035,0.2217,-0.2557,0.1033,0.4858,1.0017,1200,M
Occupancy,American Woodcock,cyper,-0.074,0.2986,-0.5539,-0.0722,0.4248,1.0007,1200,M
Occupancy,Barred Owl,cyper,-0.2621,0.2976,-0.7899,-0.2468,0.2089,1.0008,1200,R
Occupancy,Bald Eagle,cyper,-0.2839,0.2952,-0.7515,-0.2797,0.2178,0.9993,1096,R
Occupancy,Bank Swallow,cyper,-0.2618,0.2866,-0.7467,-0.2543,0.1972,1.0039,1200,NE
Occupancy,Baltimore Oriole,cyper,-0.3747,0.2146,-0.7336,-0.3762,-0.0307,1.0025,1477,NE
Occupancy,Barn Swallow,cyper,-0.2875,0.2569,-0.7055,-0.288,0.1189,1.0018,1354,NE
Occupancy,Black-capped Chickadee,cyper,-0.0122,0.2689,-0.4517,-0.011,0.4263,1,1095,R
Occupancy,Belted Kingfisher,cyper,-0.403,0.282,-0.8519,-0.4131,0.0595,1.0046,1087,R
Occupancy,Blue-gray Gnatcatcher,cyper,-0.0003,0.2297,-0.3544,-0.0135,0.402,1.0137,956,M
Occupancy,Brown-headed Cowbird,cyper,-0.1566,0.2397,-0.5568,-0.1622,0.2376,0.9998,1417,M
Occupancy,Blue-headed Vireo,cyper,-0.0569,0.296,-0.5508,-0.0642,0.4339,1.0031,991,NE
Occupancy,Blue Jay,cyper,-0.0592,0.2386,-0.4401,-0.064,0.335,1.0057,1140,M
Occupancy,Bobolink,cyper,-0.121,0.3047,-0.6193,-0.1326,0.3909,1.0011,1200,NE
Occupancy,Brown Creeper,cyper,0.063,0.2421,-0.3186,0.0605,0.4756,1.0049,1200,M
Occupancy,Brown Thrasher,cyper,-0.139,0.2871,-0.6255,-0.133,0.3259,1.0033,1200,M
Occupancy,Black-throated Green Warbler,cyper,-0.1374,0.304,-0.6276,-0.1429,0.3555,1.0034,1200,NE
Occupancy,Broad-winged Hawk,cyper,-0.233,0.2927,-0.7206,-0.2309,0.2342,1.0174,1093,NE
Occupancy,Blue-winged Warbler,cyper,0.0673,0.2573,-0.3524,0.062,0.4842,1.0029,1200,NE
Occupancy,Canada Goose,cyper,-0.0597,0.2707,-0.5126,-0.0616,0.3678,1.002,1264,R
Occupancy,Carolina Wren,cyper,-0.2092,0.2053,-0.5455,-0.2081,0.1199,1.0031,1200,R
Occupancy,Cedar Waxwing,cyper,-0.108,0.2024,-0.4335,-0.1048,0.2163,1.003,1200,M
Occupancy,Cerulean Warbler,cyper,-0.1315,0.3028,-0.6278,-0.1291,0.3572,1.0006,1200,NE
Occupancy,Chipping Sparrow,cyper,0.0149,0.2211,-0.3389,0.0072,0.3861,1.0008,1348,M
Occupancy,Chimney Swift,cyper,-0.3055,0.2527,-0.709,-0.3041,0.1058,1.0358,1200,NE
Occupancy,Cliff Swallow,cyper,-0.2153,0.3055,-0.7199,-0.206,0.2907,1.0024,1200,NE
Occupancy,Common Grackle,cyper,-0.0569,0.2111,-0.4011,-0.0595,0.2938,1.0146,1200,M
Occupancy,Cooper's Hawk,cyper,-0.2037,0.2647,-0.6522,-0.1916,0.2349,1.0068,1311,M
Occupancy,Common Yellowthroat,cyper,0.2044,0.1872,-0.0954,0.2048,0.5083,1.0147,1074,NE
Occupancy,Dark-eyed Junco,cyper,-0.3169,0.2446,-0.7113,-0.3119,0.0739,1.0049,1200,R
Occupancy,Downy Woodpecker,cyper,-0.0012,0.2606,-0.41,-0.0098,0.4239,1.0163,1200,R
Occupancy,Eastern Bluebird,cyper,0.2424,0.2446,-0.1469,0.238,0.6645,1,1200,M
Occupancy,Eastern Kingbird,cyper,-0.1804,0.2514,-0.591,-0.1809,0.2196,1.0341,1091,NE
Occupancy,Eastern Meadowlark,cyper,-0.2348,0.2967,-0.7018,-0.2281,0.2417,1.0016,1200,M
Occupancy,Eastern Phoebe,cyper,-0.3116,0.2305,-0.6976,-0.2967,0.0372,1.0134,1200,M
Occupancy,Eastern Towhee,cyper,0.5099,0.2224,0.1694,0.4982,0.8885,1.0091,1200,M
Occupancy,Eastern Wood-Pewee,cyper,-0.1601,0.2327,-0.5604,-0.1692,0.2183,1.0039,1200,NE
Occupancy,European Starling,cyper,-0.4185,0.2522,-0.8469,-0.405,-0.0371,1.0123,1200,R
Occupancy,Field Sparrow,cyper,0.2214,0.2437,-0.1597,0.2091,0.6353,1.0139,1200,M
Occupancy,Great Blue Heron,cyper,-0.4903,0.2896,-1.0229,-0.4821,-0.025,1.0012,1200,M
Occupancy,Great Crested Flycatcher,cyper,-0.2013,0.2517,-0.614,-0.2014,0.2011,1.0075,1200,NE
Occupancy,Great Horned Owl,cyper,-0.2205,0.2947,-0.7279,-0.2151,0.249,1.0085,1200,R
Occupancy,Gray Catbird,cyper,-0.207,0.1781,-0.5007,-0.2022,0.0745,1.0042,1200,M
Occupancy,Green Heron,cyper,-0.0791,0.3054,-0.577,-0.077,0.411,1.001,1200,M
Occupancy,Hairy Woodpecker,cyper,-0.0068,0.2634,-0.4479,-0.004,0.4085,1.0031,1200,R
Occupancy,Herring Gull,cyper,-0.1981,0.2984,-0.6889,-0.1938,0.2737,1.0057,1317,R
Occupancy,Hermit Thrush,cyper,-0.0166,0.289,-0.4718,-0.0226,0.4596,1.0039,1200,NE
Occupancy,House Finch,cyper,-0.185,0.2442,-0.5826,-0.1832,0.212,1.0017,1200,R
Occupancy,House Sparrow,cyper,-0.2967,0.2152,-0.6609,-0.2852,0.0315,0.9995,1058,R
Occupancy,Hooded Warbler,cyper,-0.0228,0.1901,-0.3204,-0.0232,0.2974,1.0021,1073,NE
Occupancy,House Wren,cyper,0.2254,0.1701,-0.0491,0.2206,0.5168,1.0064,1200,M
Occupancy,Indigo Bunting,cyper,-0.322,0.1814,-0.6305,-0.3277,-0.0292,1.008,1302,NE
Occupancy,Killdeer,cyper,-0.1001,0.2446,-0.487,-0.0959,0.2992,1.0072,1200,M
Occupancy,Louisiana Waterthrush,cyper,-0.3426,0.2512,-0.7572,-0.3407,0.0626,1.0004,1200,NE
Occupancy,Mallard,cyper,-0.2033,0.2749,-0.6408,-0.2028,0.2633,1.015,1069,M
Occupancy,Mourning Dove,cyper,0.0716,0.2284,-0.2982,0.0667,0.461,1.0088,1200,M
Occupancy,Northern Cardinal,cyper,-0.1672,0.2344,-0.5445,-0.1684,0.2001,1.0028,1200,R
Occupancy,Northern Flicker,cyper,0.1893,0.2388,-0.1936,0.2001,0.5978,1.0024,1200,M
Occupancy,Northern Parula,cyper,-0.1883,0.2993,-0.6766,-0.1857,0.2898,1.0166,1200,M
Occupancy,Northern Rough-winged Swallow,cyper,-0.4123,0.2733,-0.8776,-0.4017,0.0111,1.0255,1200,M
Occupancy,Orchard Oriole,cyper,-0.1687,0.2447,-0.5721,-0.1656,0.2295,1.0006,1200,NE
Occupancy,Ovenbird,cyper,-0.2196,0.2456,-0.6127,-0.2204,0.184,1.0051,1200,NE
Occupancy,Pileated Woodpecker,cyper,-0.0938,0.2451,-0.4908,-0.1081,0.3016,1.0109,1200,R
Occupancy,Purple Finch,cyper,-0.1699,0.2882,-0.6488,-0.1642,0.2871,0.999,1200,M
Occupancy,Purple Martin,cyper,-0.121,0.3085,-0.6197,-0.1156,0.378,1.0013,1200,NE
Occupancy,Rose-breasted Grosbeak,cyper,-0.2595,0.2263,-0.6061,-0.263,0.0982,1.0044,1200,NE
Occupancy,Ring-billed Gull,cyper,-0.2926,0.271,-0.7513,-0.2888,0.1202,1.0132,1200,R
Occupancy,Red-breasted Nuthatch,cyper,-0.0489,0.3125,-0.5737,-0.0428,0.5062,1.0182,1056,M
Occupancy,Red-bellied Woodpecker,cyper,-0.1431,0.3053,-0.6304,-0.1464,0.3701,1.0013,1200,R
Occupancy,Red-eyed Vireo,cyper,-0.1597,0.2407,-0.5602,-0.1575,0.2229,1.0099,1200,NE
Occupancy,Red-headed Woodpecker,cyper,-0.1957,0.2743,-0.6693,-0.1867,0.2198,1.0011,1200,R
Occupancy,Rock Pigeon,cyper,-0.2099,0.292,-0.6989,-0.206,0.2537,1.0015,1200,R
Occupancy,Red-shouldered Hawk,cyper,-0.0945,0.2741,-0.5458,-0.1053,0.36,1.0019,1083,R
Occupancy,Red-tailed Hawk,cyper,-0.3248,0.2724,-0.7992,-0.3181,0.0922,0.9997,1095,R
Occupancy,Ruby-throated Hummingbird,cyper,-0.0497,0.2921,-0.5419,-0.046,0.4094,1.0004,1200,NE
