Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,Hermit Thrush,Intercept,-4.7637,0.8293,-6.2266,-4.7312,-3.5331,1.0197,1061,NE,YES
Occupancy,House Finch,Intercept,-0.1512,1.055,-1.5136,-0.3299,1.6491,1.0393,455,R,NO
Occupancy,House Sparrow,Intercept,-1.9132,0.4033,-2.5525,-1.9105,-1.2513,1.0039,1656,R,YES
Occupancy,Hooded Warbler,Intercept,-0.9239,0.2788,-1.377,-0.9305,-0.4627,1.0082,1200,NE,YES
Occupancy,House Wren,Intercept,-0.0679,0.2025,-0.388,-0.0708,0.2625,1.0001,1200,M,NO
Occupancy,Indigo Bunting,Intercept,-0.0793,0.2226,-0.4534,-0.0837,0.291,1.0012,1200,NE,NO
Occupancy,Killdeer,Intercept,-2.7938,0.6616,-3.8405,-2.847,-1.6629,0.9992,1063,M,YES
Occupancy,Louisiana Waterthrush,Intercept,-2.2591,0.6175,-3.202,-2.2995,-1.202,0.9993,1200,NE,YES
Occupancy,Mallard,Intercept,-2.7244,0.9481,-3.9894,-2.8346,-1.0774,1.0135,598,M,YES
Occupancy,Mourning Dove,Intercept,-1.1366,0.5068,-1.9298,-1.1835,-0.2503,1.0009,1200,M,YES
Occupancy,Northern Cardinal,Intercept,2.9658,0.4931,2.2714,2.9089,3.8097,1.0015,1021,R,YES
Occupancy,Northern Flicker,Intercept,1.1549,1.2566,-0.2386,0.8172,3.4881,1.0008,375,M,NO
Occupancy,Northern Parula,Intercept,-4.328,1.4816,-6.5247,-4.4239,-1.9232,1.0302,428,M,YES
Occupancy,Northern Rough-winged Swallow,Intercept,-1.881,0.924,-3.0923,-2.0175,-0.2665,1.0335,531,M,YES
Occupancy,Orchard Oriole,Intercept,-2.6495,0.5551,-3.5978,-2.6333,-1.7625,1.0098,1200,NE,YES
Occupancy,Ovenbird,Intercept,-2.7661,0.5547,-3.6191,-2.7872,-1.8182,1.0026,913,NE,YES
Occupancy,Pileated Woodpecker,Intercept,2.2117,1.6139,0.2641,1.8667,5.3122,1.0121,327,R,YES
Occupancy,Purple Finch,Intercept,-4.993,1.4326,-7.3465,-5.0019,-2.4772,1.007,513,M,YES
Occupancy,Purple Martin,Intercept,-5.7715,1.7334,-8.7059,-5.7345,-2.9926,1.009,490,NE,YES
