Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,Hermit Thrush,Intercept,-4.5174,0.7877,-5.8822,-4.479,-3.3093,1.0019,1335,NE,YES
Occupancy,House Finch,Intercept,-1.0108,0.3915,-1.6165,-1.0291,-0.3592,1.0138,1200,R,YES
Occupancy,House Sparrow,Intercept,-1.5764,0.2721,-2.0305,-1.5749,-1.1442,1.0302,1095,R,YES
Occupancy,Hooded Warbler,Intercept,-0.7195,0.2564,-1.1436,-0.7157,-0.2908,0.9997,1200,NE,YES
Occupancy,House Wren,Intercept,0.9387,0.282,0.5225,0.9142,1.4208,1.0103,1200,M,YES
Occupancy,Indigo Bunting,Intercept,0.2878,0.1998,-0.0391,0.2871,0.6373,1.0066,1436,NE,NO
Occupancy,Killdeer,Intercept,-2.3006,0.4729,-3.0647,-2.297,-1.5405,0.9989,1063,M,YES
Occupancy,Louisiana Waterthrush,Intercept,-1.8381,0.4784,-2.5801,-1.8485,-1.0274,1.0085,1200,NE,YES
Occupancy,Mallard,Intercept,-2.0311,0.7725,-3.1212,-2.1364,-0.6398,1.0392,721,M,YES
Occupancy,Mourning Dove,Intercept,-0.4173,0.4437,-1.1126,-0.424,0.3192,1.0021,1200,M,NO
Occupancy,Northern Cardinal,Intercept,4.2673,0.9453,3.0993,4.1044,5.9547,1.0177,967,R,YES
Occupancy,Northern Flicker,Intercept,1.562,1.1004,0.3001,1.3119,3.6639,1.0051,369,M,YES
Occupancy,Northern Parula,Intercept,-3.9024,1.5474,-6.1938,-4.0404,-1.1775,1.0251,382,M,YES
Occupancy,Northern Rough-winged Swallow,Intercept,-1.7927,0.6701,-2.8321,-1.8346,-0.6961,1.0097,1033,M,YES
Occupancy,Orchard Oriole,Intercept,-1.9114,0.4428,-2.6229,-1.9135,-1.1774,1.0009,1200,NE,YES
Occupancy,Ovenbird,Intercept,-2.5155,0.4526,-3.275,-2.5122,-1.7634,1.0034,1015,NE,YES
Occupancy,Pileated Woodpecker,Intercept,1.6559,0.9057,0.5066,1.4806,3.4025,1.0586,757,R,YES
Occupancy,Purple Finch,Intercept,-4.0492,1.267,-6.0499,-4.0821,-1.8687,1.0177,662,M,YES
Occupancy,Purple Martin,Intercept,-4.7319,1.1573,-6.73,-4.6763,-2.968,1.0058,682,NE,YES
Occupancy,Rose-breasted Grosbeak,Intercept,-0.0625,0.3492,-0.5836,-0.091,0.5523,1.0225,916,NE,NO
Occupancy,Ring-billed Gull,Intercept,-1.9284,0.4984,-2.7068,-1.9336,-1.1088,1.0279,1200,R,YES
Occupancy,Red-breasted Nuthatch,Intercept,-4.0875,1.4923,-6.1973,-4.234,-1.4027,1.0407,388,M,YES
Occupancy,Red-bellied Woodpecker,Intercept,3.5181,0.7182,2.569,3.4175,4.7829,1.0006,1229,R,YES
Occupancy,Red-eyed Vireo,Intercept,3.6705,0.5496,2.8332,3.6327,4.6051,1.0061,1200,NE,YES
Occupancy,Red-headed Woodpecker,Intercept,-2.6476,0.8703,-3.8699,-2.7684,-1.0054,1.0044,771,R,YES
Occupancy,Rock Pigeon,Intercept,-3.3754,1.5337,-5.5215,-3.5592,-0.6962,1.0166,351,R,YES
Occupancy,Red-shouldered Hawk,Intercept,0.2002,1.2259,-1.2738,-0.0308,2.4966,1.0236,330,R,NO
Occupancy,Red-tailed Hawk,Intercept,0.0754,1.5596,-1.6353,-0.3114,3.3499,1.0302,233,R,NO
Occupancy,Ruby-throated Hummingbird,Intercept,1.8939,1.3853,0.1751,1.5863,4.7505,1.0706,457,NE,YES
Occupancy,Red-winged Blackbird,Intercept,-0.4611,0.2008,-0.7958,-0.4571,-0.1341,0.9995,1200,M,YES
Occupancy,Savannah Sparrow,Intercept,-5.4417,0.9224,-7.205,-5.3301,-4.0903,1.0051,1200,M,YES
Occupancy,Scarlet Tanager,Intercept,1.0175,0.3181,0.5364,0.9969,1.5776,1.0082,1234,NE,YES
Occupancy,Song Sparrow,Intercept,0.7366,0.2226,0.3887,0.7351,1.103,1.0245,1200,R,YES
Occupancy,Swamp Sparrow,Intercept,-3.6598,0.4793,-4.5286,-3.6154,-2.95,1.026,1200,M,YES
Occupancy,Tree Swallow,Intercept,-2.5705,0.4608,-3.3081,-2.5665,-1.8115,1.0008,1351,M,YES
Occupancy,Tufted Titmouse,Intercept,4.2978,0.7705,3.2807,4.1745,5.7069,0.9991,1090,R,YES
Occupancy,Turkey Vulture,Intercept,0.0481,1.2681,-1.6026,-0.1516,2.3366,1.0023,415,M,NO
Occupancy,Veery,Intercept,-1.4122,0.4855,-2.1424,-1.4638,-0.5167,1.0169,1200,NE,YES
Occupancy,Virginia Rail,Intercept,-4.0461,1.7691,-6.4346,-4.2534,-1.0882,1.0294,188,M,YES
Occupancy,Warbling Vireo,Intercept,-1.9643,0.2924,-2.4446,-1.964,-1.4854,1.0051,1200,NE,YES
Occupancy,White-breasted Nuthatch,Intercept,2.8686,0.4887,2.1538,2.8188,3.7009,1.0024,943,R,YES
Occupancy,White-eyed Vireo,Intercept,-5.2468,0.95,-6.8535,-5.173,-3.8506,1.007,1200,NE,YES
Occupancy,Willow Flycatcher,Intercept,-2.7386,0.4061,-3.3939,-2.7278,-2.0977,1.0044,1200,NE,YES
Occupancy,Wild Turkey,Intercept,1.0731,1.7951,-1.5203,0.9473,4.1758,1.0026,272,R,NO
Occupancy,Winter Wren,Intercept,-3.1537,1.1151,-4.7175,-3.2605,-1.192,1.0785,375,M,YES
Occupancy,Wood Duck,Intercept,-3.4921,1.475,-5.4624,-3.6959,-0.6526,1.0109,283,M,YES
Occupancy,Wood Thrush,Intercept,1.373,0.315,0.8853,1.3565,1.9245,1.0066,1200,NE,YES
Occupancy,Yellow-billed Cuckoo,Intercept,-0.3074,1.7022,-2.5029,-0.6177,2.9539,1.0416,238,NE,NO
Occupancy,Yellow Warbler,Intercept,-1.25,0.2579,-1.6777,-1.2516,-0.8397,1.0037,1200,NE,YES
Occupancy,Yellow-throated Vireo,Intercept,0.0036,1.4012,-1.6177,-0.2731,2.5706,1.0721,243,NE,NO
Occupancy,Yellow-throated Warbler,Intercept,-3.441,0.4955,-4.3274,-3.4158,-2.6604,1,1200,NE,YES
Occupancy,Acadian Flycatcher,tol_rel,-1.2241,0.2469,-1.6258,-1.2153,-0.821,1.0042,1200,NE,YES
Occupancy,Alder Flycatcher,tol_rel,0.7604,0.5663,-0.1782,0.7561,1.7096,1.0046,1102,NE,NO
