
Call:
msPGOcc(occ.formula = bbs_occobject_global.occ.formula, det.formula = bbs_occobject.det.best.formula, data = bbs_occobject, 
    inits = ms.inits, priors = ms.priors, n.samples = 30000, n.omp.threads = 1, verbose = TRUE, n.report = 6000, 
    n.burn = 10000, n.thin = 50, n.chains = 3)

Samples per Chain: 30000
Burn-in: 10000
Thinning Rate: 50
Number of Chains: 3
Total Posterior Samples: 1200
Run Time (min): 56.5753

----------------------------------------
	Species Level
----------------------------------------
Occurrence (logit scale): 
                           Mean     SD      5%     50%     95%   Rhat  ESS
(Intercept)-sp63         2.6612 0.4154  2.0644  2.6112  3.4162 1.0042 1301
(Intercept)-sp64         1.1312 1.1987 -0.3055  0.8662  3.4692 1.0076  489
(Intercept)-sp65        -4.3980 1.1616 -6.2715 -4.4150 -2.3755 1.0175  907
(Intercept)-sp66        -2.0908 0.7159 -3.1526 -2.1448 -0.7288 1.0146 1083
(Intercept)-sp67        -2.5441 0.5165 -3.4127 -2.5497 -1.7076 1.0069 1200
(Intercept)-sp68        -2.7411 0.3799 -3.3822 -2.7534 -2.0969 1.0017 1064
(Intercept)-sp69         1.3278 1.2478 -0.0992  1.0140  3.8978 1.0028  486
(Intercept)-sp70        -4.6182 1.2931 -6.7146 -4.6342 -2.5202 1.0184  720
(Intercept)-sp71        -5.7645 1.6389 -8.6066 -5.6859 -3.3179 1.0081  602
(Intercept)-sp72        -0.0306 0.6400 -0.8291 -0.1319  1.0408 1.0027  873
(Intercept)-sp73        -2.5974 0.6158 -3.4718 -2.6476 -1.6445 1.0347  455
(Intercept)-sp74        -4.3215 1.3994 -6.4637 -4.3605 -1.8609 1.0129  532
(Intercept)-sp75         3.1006 0.6479  2.2019  3.0266  4.2586 1.0042 1200
(Intercept)-sp76         2.8748 0.4073  2.2430  2.8528  3.5901 1.0032 1787
(Intercept)-sp77        -2.6122 0.9408 -3.8820 -2.7150 -0.8964 1.0135  471
(Intercept)-sp78        -3.6747 1.0935 -5.4487 -3.7102 -1.8426 1.0108  660
